AnimalID,FirstDate,BirthGroup,LH_MotherID,DOB_Assign,comments
Guzunga,01/11/2018,AK,Gugu,,
Gubudu,11/12/2020,AK,Gubha,,
Ndondo,04/01/2021,AK,Ndawonya,,
Hondjie,29/11/2016,BD,Heerlik,,
Hibiscus,30/11/2016,BD,Hippie,,
Babypannekoekie2019,04/11/2019,BD,Pannekoekie,,
Oupa,13/11/2020,BD,Oulik,,
Naartjie,21/12/2020,BD,Nooiens ,,
Nukke,18/10/2021,BD,Nurks,,
Piesang,18/10/2021,BD,Pieperig,,
Renoster,15/11/2021,BD,Redelik,,
Sampion,22/11/2021,BD,Sari,,
Babyoerw2021,06/12/2021,BD,Oerwoud,,
Yangtze,27/01/2014,KB,Yenissei,,
Moonie,28/02/2014,KB,Mara,,
Malawi,14/12/2014,KB,Mara,,
Babyamur2015,25/10/2015,KB,Amur,,
Yara,11/11/2017,KB,Yalu,,
Yzeron,20/11/2017,KB,Yenissei,,
Aathabasca,26/10/2018,KB,Aare,,
Athabasca,26/10/2018,KB,Aare,,
Mass,12/11/2018,KB,Mara,,
Aaalva,08/10/2020,KB,Aare,,01/11/2019
Moesa,24/11/2020,KB,Mara,,
Babyyalu2020,01/12/2020,KB,Yalu,,
Babykodiak2020,16/04/2021,KB,Kodiak,no,"group is CR, wrongly assigned KB"
Yodo,03/10/2021,KB,Yara,,
Amstel,12/10/2021,KB,Aaragon,,
Nugget,26/10/2021,KB,Nessie,,
Yamp,16/11/2021,KB,Yamuna,,
Digby,08/01/2014,LT,Diana,,
Shitface,28/01/2014,LT,NA,,01/12/2011
Oliver,04/02/2014,LT,NA,,01/12/2009
Rosemary,11/02/2014,LT,NA,,01/12/2011
Tere,30/05/2014,LT,NA,,01/12/2009
Lefty,31/05/2014,LT,NA,,01/12/2013
Kenneth,15/08/2014,LT,Kaya,,01/12/2013
Liam,15/08/2014,LT,NA,,01/11/2013
Iggy,18/08/2014,LT,India,,01/12/2013
Daisy,26/08/2014,LT,Diana,,01/12/2013
Joe,18/09/2014,LT,NA,,01/12/2013
Vance,20/09/2014,LT,Victoria,,01/12/2013
Halfy,18/10/2014,LT,NA,,01/12/2012
Roxanne,30/10/2014,LT,NA,,
Mercury,18/12/2014,LT,NA,,01/12/2012
Daenerys,20/08/2015,LT,Diana,,01/12/2014
Babydigby2017,05/10/2017,LT,Digby,,
Rocky,09/10/2017,LT,Rose-Mary,no,
Babydiana2019,29/10/2019,LT,Diana,,
Dastard,01/11/2019,LT,Daenerys,,
Babydelilah2019,04/11/2019,LT,Delilah,,
Lampshade,07/11/2019,LT,Laurel,,
Diamond,29/10/2020,LT,Diana,,
Light,29/10/2020,LT,Lilly,,
Deja,07/12/2020,LT,Delilah,,
Loki,07/12/2020,LT,Louise,,
Delta,11/12/2020,LT,Dewe,,
Lola,03/12/2021,LT,Louise,,
Delux,11/12/2021,LT,Delilah,,
Derrick,11/12/2021,LT,Dexter,,
Lucifer,11/12/2021,LT,Lilly,,
Uraniumcity,09/10/2017,NH,Uppsala,,
Xinji,20/10/2017,NH,Xian,,
Rochdale,01/11/2018,NH,Reva,,
Ulsan,01/11/2018,NH,Uppsala,,
Riversdale,16/11/2020,NH,Reva,,
Palmela,17/12/2020,NH,Pretoria,,
Lugano,21/12/2020,NH,Lima,,
Rimini,11/01/2021,NH,Rabat,,
Babypret2021,05/10/2021,NH,Pretoria,,
Primavera,28/10/2021,NH,Praia,,
Bethlehem,08/11/2021,NH,Bela-Bela,,
Rivas,08/11/2021,NH,Rioja,,
Xarès,08/11/2021,NH,Xalapa,,
