"AnimalID","DOB","Natal","Group","NatalGroup","From","To","Duration","Age_From","Age_To","GroupCount","ImmigrationCount","Group_From","Group_To","Away_Period","GroupCount_DB_SeqMiss"
"Aaalva",2019-11-01,"Yes","KB","Yes",2019-11-01,2022-11-17,1112,0,3.05,1,0,NA,NA,NA,NA
"Aalwyn",2018-11-27,"Yes","BD","Yes",2018-11-27,2022-11-17,1451,0,3.98,1,0,NA,NA,NA,NA
"Aantreklik",2017-10-17,"Yes","BD","Yes",2017-10-17,2022-11-17,1857,0,5.1,1,0,NA,NA,NA,NA
"Aarhus",2017-10-09,"Yes","KB","Yes",2017-10-09,2022-11-17,1865,0,5.12,1,0,NA,NA,NA,NA
"Adam",NA,"No","LT","No",2014-08-14,2016-11-14,823,NA,NA,2,1,NA,NA,NA,NA
"Adder",2015-11-23,"Yes","BD","Yes",2015-11-23,2021-10-04,2142,0,5.88,1,0,NA,NA,NA,NA
"Adonis",NA,"No","BD","No",2010-11-09,2011-02-08,91,NA,NA,2,1,NA,NA,NA,NA
"Afrikaans",2010-10-19,"Yes","BD","Yes",2010-10-19,2015-06-25,1710,0,4.69,1,0,NA,"AK",NA,NA
"Afrikaans",2010-10-19,"Yes","AK","No",2015-06-29,2016-02-16,232,4.71,5.34,2,1,"BD",NA,4,"No"
"Ahekinkinga",NA,"No","AK","No",2010-12-18,2012-02-24,433,NA,NA,2,1,NA,NA,NA,NA
"Akkedis",2011-11-07,"Yes","BD","Yes",2011-11-07,2016-05-28,1664,0,4.57,1,0,NA,"CR",NA,NA
"Amgoun",2017-10-09,"Yes","KB","Yes",2017-10-09,2019-02-27,506,0,1.39,1,0,NA,NA,NA,NA
"Andrew",NA,"Yes","LT","Yes",2013-02-09,2014-04-12,427,NA,NA,1,0,NA,NA,NA,NA
"Appel",2020-11-04,"Yes","BD","Yes",2020-11-04,2022-11-17,743,0,2.04,1,0,NA,NA,NA,NA
"Ardig",2018-11-15,"Yes","BD","Yes",2018-11-15,2020-10-01,686,0,1.88,1,0,NA,NA,NA,NA
"Arno",2014-10-17,"Yes","KB","Yes",2014-10-17,2019-05-13,1669,0,4.58,1,0,NA,NA,NA,NA
"Arthur",NA,"No","LT","No",2011-11-03,2012-02-14,103,NA,NA,2,1,NA,"AK",NA,NA
"Arthur",NA,"No","AK","No",2012-04-19,2012-04-30,11,NA,NA,3,2,"LT","BD",65,"No"
"Arthur",NA,"No","BD","No",2012-07-25,2014-05-20,664,NA,NA,4,3,"AK",NA,86,"No"
"Asseblief",2014-11-05,"Yes","BD","Yes",2014-11-05,2019-05-30,1667,0,4.58,1,0,NA,"CR",NA,NA
"Athabasca",2018-10-26,"Yes","KB","Yes",2018-10-26,2022-11-17,1483,0,4.07,1,0,NA,NA,NA,NA
"Atitlan",NA,"No","KB","No",2015-04-28,2016-01-25,272,NA,NA,2,1,NA,"AK",NA,NA
"Atitlan",NA,"No","AK","No",2016-03-03,2020-02-25,1454,NA,NA,3,2,"KB",NA,38,"No"
"Auckland",NA,"No","NH","No",2012-02-27,2014-09-25,941,NA,NA,2,1,NA,NA,NA,NA
"Avon",2013-11-11,"Yes","KB","Yes",2013-11-11,2018-04-06,1607,0,4.41,1,0,NA,"NH",NA,NA
"Avon",2013-11-11,"Yes","NH","No",2018-05-14,2018-06-12,29,4.52,4.6,2,1,"KB","Ifamily",38,"No"
"Awash",2020-11-03,"Yes","KB","Yes",2020-11-03,2022-11-17,744,0,2.04,1,0,NA,NA,NA,NA
"Babelas",NA,"Yes","BD","Yes",2010-11-09,2014-05-15,1283,NA,NA,1,0,NA,"NH",NA,NA
"Babelas",NA,"Yes","NH","No",2014-05-19,2016-04-19,701,NA,NA,2,1,"BD","LT",4,"No"
"Babelas",NA,"Yes","LT","No",2019-06-24,2021-04-07,653,NA,NA,3,2,"NH","LT",1161,"No"
"Babyaare2015",2015-11-12,"Yes","KB","Yes",2015-11-12,2016-02-13,93,0,0.26,1,0,NA,NA,NA,NA
"Babydag2012",2012-09-25,"Yes","BD","Yes",2012-09-25,2012-11-29,65,0,0.18,1,0,NA,"InBetweeners",NA,NA
"Babydiana2015",2015-11-17,"Yes","LT","Yes",2015-11-17,2016-01-19,63,0,0.17,1,0,NA,NA,NA,NA
"Babyeina2018",2018-11-13,"Yes","BD","Yes",2018-11-13,2018-11-26,13,0,0.04,1,0,NA,NA,NA,NA
"Babyemm2012",2012-10-08,"Yes","LT","Yes",2012-10-08,2013-05-22,226,0,0.62,1,0,NA,NA,NA,NA
"Babygaya2018",2018-12-24,"Yes","NH","Yes",2018-12-24,2019-01-21,28,0,0.08,1,0,NA,NA,NA,NA
"Babygaya2019",2019-10-14,"Yes","NH","Yes",2019-10-14,2019-10-26,12,0,0.03,1,0,NA,NA,NA,NA
"Babygugu2017",2017-10-31,"Yes","AK","Yes",2017-10-31,2018-01-11,72,0,0.2,1,0,NA,NA,NA,NA
"Babygugu2019",2019-11-09,"Yes","AK","Yes",2019-11-09,2020-03-04,116,0,0.32,1,0,NA,NA,NA,NA
"Babyhak2011",2011-11-22,"Yes","BD","Yes",2011-11-22,2011-12-05,13,0,0.04,1,0,NA,NA,NA,NA
"Babyheer2019",2019-10-28,"Yes","BD","Yes",2019-10-28,2020-01-28,92,0,0.25,1,0,NA,NA,NA,NA
"Babykaya2017",2017-11-04,"Yes","LT","Yes",2017-11-04,2018-02-21,109,0,0.3,1,0,NA,"LTsplit",NA,NA
"Babymara2019",2019-10-21,"Yes","KB","Yes",2019-10-21,2019-10-24,3,0,0.01,1,0,NA,NA,NA,NA
"Babynessie2019",2019-10-24,"Yes","KB","Yes",2019-10-24,2019-10-24,0,0,0,1,0,NA,NA,NA,NA
"Babyniese2014",2014-11-11,"Yes","BD","Yes",2014-11-11,2014-12-26,45,0,0.12,1,0,NA,NA,NA,NA
"Babypannekoekie2017",2017-10-12,"Yes","BD","Yes",2017-10-12,2017-12-21,70,0,0.19,1,0,NA,NA,NA,NA
"Babyredelik2019",2019-10-19,"Yes","BD","Yes",2019-10-19,2019-10-19,0,0,0,1,0,NA,NA,NA,NA
"Babyrenn2020",2020-11-22,"Yes","NH","Yes",2020-11-22,2020-12-29,37,0,0.1,1,0,NA,NA,NA,NA
"Babyreva2019",2019-10-23,"Yes","NH","Yes",2019-10-23,2019-10-26,3,0,0.01,1,0,NA,NA,NA,NA
"Babyroxanne2017",2017-10-16,"Yes","LT","Yes",2017-10-16,2018-02-19,126,0,0.35,1,0,NA,NA,NA,NA
"Babytroi2015",2015-10-22,"Yes","NH","Yes",2015-10-22,2015-12-11,50,0,0.14,1,0,NA,NA,NA,NA
"Babyupp2012",2012-10-19,"Yes","NH","Yes",2012-10-19,2012-11-03,15,0,0.04,1,0,NA,NA,NA,NA
"Babyvict2014",2014-10-28,"Yes","LT","Yes",2014-10-28,2015-01-16,80,0,0.22,1,0,NA,NA,NA,NA
