"AnimalID","DOB","FirstDate","LH_MotherID","BirthGroup","EmigrationNatalDate","DOB_Month"
"Kaya",2013-02-07,2013-02-07,NA,"LT","2018-02-21",2
"Ndawonya",2016-02-08,2016-02-08,"Ndonsa","AK",NA,2
"Puntag",2018-03-02,2018-03-02,NA,NA,NA,3
"Wesley",2015-05-20,2015-05-20,NA,NA,NA,5
"Laila",2018-06-11,2018-06-11,"Laurel","LT",NA,6
"Babykai2012",1905-07-02,2012-11-01,"Kaiki","BD","2012-11-15",7
"Hwahwaza",2011-09-16,2011-09-16,"Hamba","AK","2016-06-04",9
"Hola",2012-09-11,2012-09-11,"Hamba","AK","2018-02-15",9
"Lennon",2012-09-19,2012-09-19,"Lizz","LT","2018-02-10",9
"Yoogali",2012-09-22,2012-09-22,"Yaounde","NH","2016-04-19",9
"Valerie",2012-09-24,2012-09-24,"Victoria","LT",NA,9
"Babydag2012",2012-09-25,2012-09-25,"Dagga","BD","2012-11-29",9
"Babycam2012",2012-09-29,2012-09-29,"Camilla","LT",NA,9
"Geleza",2012-09-29,2012-09-29,"Gagasa","AK",NA,9
"Humusha",2014-09-22,2014-09-22,"Hamba","AK","2016-05-21",9
"Babynumbies2017",2017-09-25,2017-09-25,"Numbies","BD",NA,9
"Sari",2017-09-30,2017-09-30,"Snortjie","BD",NA,9
"Babydian2021",2021-09-29,2021-09-29,"Diana","LT",NA,9
