AnimalID,DOB,FirstDate,LH_MotherID,BirthGroup,EmigrationNatalDate,DOB_Month,RemoveDOB,Comment
Kaya,07/02/2013,07/02/2013,NA,LT,21/02/2018,2,yes,
Ndawonya,08/02/2016,08/02/2016,Ndonsa,AK,NA,2,,
Puntag,02/03/2018,02/03/2018,NA,NA,NA,3,yes,DOB mistaken with FirstDate and ImmigrationDate
Wesley,20/05/2015,20/05/2015,NA,NA,NA,5,yes,DOB mistaken with FirstDate and ImmigrationDate
Laila,11/06/2018,11/06/2018,Laurel,LT,NA,6,yes,
Babykai2012,02/07/1905,01/11/2012,Kaiki,BD,15/11/2012,7,yes,
Hwahwaza,16/09/2011,16/09/2011,Hamba,AK,04/06/2016,9,,
Hola,11/09/2012,11/09/2012,Hamba,AK,15/02/2018,9,,
Lennon,19/09/2012,19/09/2012,Lizz,LT,10/02/2018,9,,
Yoogali,22/09/2012,22/09/2012,Yaounde,NH,19/04/2016,9,,
Valerie,24/09/2012,24/09/2012,Victoria,LT,NA,9,,
Babydag2012,25/09/2012,25/09/2012,Dagga,BD,29/11/2012,9,,
Babycam2012,29/09/2012,29/09/2012,Camilla,LT,NA,9,,
Geleza,29/09/2012,29/09/2012,Gagasa,AK,NA,9,,
Humusha,22/09/2014,22/09/2014,Hamba,AK,21/05/2016,9,,
Babynumbies2017,25/09/2017,25/09/2017,Numbies,BD,NA,9,,
Sari,30/09/2017,30/09/2017,Snortjie,BD,NA,9,,
Babydian2021,29/09/2021,29/09/2021,Diana,LT,NA,9,,
