"LH_AnimalID","LH_AnimalCode","Sex","FirstDate","MiguelCorrected","MiguelComments"
"Pompon",NA,"M","2010-10-26","",""
"2nd MJ",NA,"M","2010-11-08","",""
"Napoli","Nap","M","2010-11-08","",""
"Adonis","Ado","M","2010-11-09","",""
"Babelas","Bab","M","2010-11-09","",""
"Boks","Bok","M","2010-11-09","",""
"Little Skollie",NA,"M","2010-11-09","",""
"Pik","Pik","M","2010-11-09","",""
"Skollie","Sko","M","2010-11-09","",""
"Xai","Xai","M","2010-11-22","",""
"Tannie","Tann","F","2010-11-26","",""
"Little Napoli",NA,"M","2010-12-04","",""
"Gigolo","Gig","M","2010-12-07","",""
"Michael Jackson","Mic","M","2010-12-08","",""
"Black tits",NA,"F","2010-12-13","",""
"Drew","Drew","F","2010-12-13","",""
"Little Balls",NA,"M","2010-12-13","",""
"Mini MJ",NA,"F","2010-12-13","",""
"Pink","Pink","F","2010-12-13","",""
"Radja","Rad","M","2010-12-13","",""
"Skin","Skin","F","2010-12-13","",""
"Istanbul","Ist","M","2010-12-15","",""
"Ahekinkinga","Ahe","M","2010-12-18","",""
"Guns and Roses","Gun","M","2010-12-18","",""
"SMA","SMA","M","2010-12-18","",""
"Ulaka","Ulak","F","2010-12-18","",""
"Elvis Presley","Elv","M","2010-12-24","",""
"Gino","Gin","M","2010-12-24","",""
"Jimmy Hendricks","Jim","M","2010-12-24","",""
"Karen Zoid","Kare","F","2010-12-24","",""
"Pat Lansky","Pat","M","2010-12-28","",""
"Bryan","Bry","M","2011-01-16","",""
"Okucane","Oku","M","2011-01-18","",""
"Queen","Quee","F","2011-01-19","",""
"William","Wil","M","2011-01-19","",""
"James","Jam","M","2011-01-28","",""
"Venezia","Vene","F","2011-02-19","",""
"Little Blind",NA,"F","2011-03-24","",""
"Engel","Enge","F","2011-04-07","",""
"Ertjies","Ert","M","2011-04-07","",""
"Grote","Gro","M","2011-04-07","",""
"Snortjie","Snor","F","2011-04-19","",""
"Rusk","Rus","M","2011-06-04","",""
"Harry","Har","M","2011-06-09","",""
"Jackie","Jac","M","2011-08-03","",""
"Merlin","Mer","M","2011-08-03","",""
"Mousse","Mou","M","2011-08-03","",""
"Theodore","The","M","2011-08-09","",""
"Amy Winehouse","Amyw","F","2011-09-29","",""
"Bruce Springsteen","Bru","M","2011-09-29","",""
"SF1",NA,"F","2011-09-29","",""
"Spotted","Spo","M","2011-09-29","",""
"Vasco Rossi","Vas","M","2011-09-29","",""
"Cindy Lauper","Cind","F","2011-10-26","",""
"Upside down",NA,"M","2011-10-28","",""
"Evanescence","Evan","F","2011-11-01","",""
"Jenny","Jenn","F","2011-11-16","",""
"Byron","Byr","M","2011-11-21","",""
"Charles","Cha","M","2011-11-21","",""
"Neuchatel","Neu","M","2011-12-16","",""
"Bongani","Bon","M","2012-01-28","",""
"Curaco","Cur","M","2012-04-14","",""
"Styx","Sty","M","2012-04-14","",""
"Tweed","Twe","M","2012-04-20","",""
"Darwin","Dar","M","2012-07-31","",""
"Double Spot","Dou","M","2012-08-13","",""
"Delilah","Deli","F","2012-10-08","",""
"Little Z",NA,"M","2013-02-08","",""
"Pearl","Pear","F","2013-04-24","",""
"Avon","Avo","M","2013-11-11","",""
"Digby","Digb","F","2014-01-08","",""
"Rose-Mary","Rose","F","2014-02-11","",""
"Tere","Tere","F","2014-05-30","",""
"Lefty","Lef","M","2014-05-31","",""
"Adam","Ada","M","2014-08-14","",""
"Kenneth","Ken","M","2014-08-15","",""
"Liam","Lia","M","2014-08-15","",""
"Iggy","Igg","M","2014-08-18","",""
"Mathimula","Mat","M","2014-10-21","",""
"BabyTere (F10) 2014","BF1014",NA,"2014-10-22","",""
"Faroe","Far","M","2014-10-28","",""
"Formentera","Form","F","2014-10-28","",""
"Kangaroo",NA,NA,"2014-10-28","",""
"Krakatoa","Krak","F","2014-10-28","",""
"Greenland",NA,NA,"2014-11-12","",""
"Teddibeer","Ted","M","2014-11-12","",""
"Propriano","Pro","M","2014-11-19","",""
"Thames","Tha","M","2014-11-19","",""
"Mercury","Mer","M","2014-12-18","",""
"Cone","Con","M","2014-12-30","",""
"Curious",NA,"M","2014-12-30","",""
"Ellesmere","Elle","F","2014-12-30","",""
"Iceland","Icel","F","2014-12-30","",""
"Japan","Jap","M","2014-12-30","",""
"Kergelen","Ker","M","2014-12-30","",""
"Pizza","Piz","M","2014-12-30","",""
"Solomon","Sol","M","2014-12-30","",""
"Antarctica","Anta","F","2014-12-31","",""
"Handi","Han","M","2014-12-31","",""
"Helmet","Hel","M","2014-12-31","",""
"Inner","Inn","M","2014-12-31","",""
"Lionel","Lion","F","2014-12-31","",""
"Macedonia","Mac","M","2014-12-31","",""
"Mackanzie","Mack","F","2014-12-31","",""
"Samoa","Samo","F","2014-12-31","",""
"Seychelles","Sey","M","2014-12-31","",""
"The Mask",NA,"F","2014-12-31","",""
"Chiloe","Chil","F","2015-01-06","",""
"Cuba","Cuba","F","2015-01-06","",""
"Flatty","Fla","M","2015-01-06","",""
"Galapagos","Gala","F","2015-01-06","",""
"Henderson","Hen","M","2015-01-06","",""
"Tonga","Tong","F","2015-01-06","",""
"Whiskers","Whis","F","2015-01-06","",""
"Xiushan","Xiu","M","2015-01-06","",""
"Symetric","Sym","M","2015-01-09","",""
"Lohihi","Lohi","F","2015-01-10","",""
"Huge","Huge","F","2015-01-12","",""
"Oahu","Oahu","F","2015-01-12","",""
"Pointy","Poi","M","2015-01-12","",""
"Sumbawa","Sumb","F","2015-01-19","",""
