"AnimalCode","AnimalID","Source","BabyName","Count_AnimalID","Remove"
"Hand","Handi","Mathia_NameCorrection_20211118.csv","No",2,""
"Han","Handi","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Iggy","Iggy","Mathia_NameCorrection_20211118.csv","No",2,""
"Igg","Iggy","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Little Z","Little Z","Mathia_NameCorrection_20211118.csv","No",2,""
NA,"Little Z","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Mock","Mokcha","Mathia_NameCorrection_20211118.csv","No",2,""
"Mokc","Mokcha","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Nco","Ncoko","Mathia_NameCorrection_20211118.csv","No",2,""
"Ncok","Ncoko","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Ndi","Ndiki","Mathias_Duplicated_AnimalCode_MiguelCorrected_20220111.csv","No",2,""
"Ndik","Ndiki","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
