bad_name,main_group,good_name,full_name,sex,notes
 Oul ,Baie Dankie,Ouli,Oulik,F,
.new male,Baie Dankie,New male,,,
Aapi ,Baie Dankie,Aapi,Aapie,F,
aapie,Baie Dankie,Aapi,Aapie,,
Aapie,Baie Dankie,Aapi,Aapie,F,
Baby Asis 2013,Baie Dankie,Aapi,Aapie,F,
 Aapi,Baie Dankie,Aapi,Aapie,F,
 Aapi ,Baie Dankie,Aapi,Aapie,F,
Aapie ,Baie Dankie,Aapi,Aapie,F,
Afri,Baie Dankie,Afr,Afrikaans,M,
Af,Baie Dankie,Afr,Afrikaans,M,
Af ,Baie Dankie,Afr,Afrikaans,M,
Afr ,Baie Dankie,Afr,Afrikaans,M,
Ak,Baie Dankie,Akk,Akkedis,M,
Roch ,Noha,Roc,Rochdale,,
Jix ,Noha,Jix,Jixi,M,
Jixi,Noha,Jix,Jixi,M,
Roch,Noha,Roc,Rochdale,M,
 Akk,Baie Dankie,Akk,Akkedis,M,
Akk ,Baie Dankie,Akk,Akkedis,M,
Als,Baie Dankie,Alsi,Alsiende,F,
 Alsi,Baie Dankie,Alsi,Alsiende,F,
Alsi ,Baie Dankie,Alsi,Alsiende,F,
Ar,Baie Dankie,,,,Arthur? There is no data for Arno in BD/LT
Ar.,Baie Dankie,,,,Arthur? There is no data for Arno in BD/LT
Art ,Baie Dankie,Art,Arthur,M,
Arthur,Baie Dankie,Art,Arthur,M,
 Art,Baie Dankie,Art,Arthur,,
Art ,Baie Dankie,Art,Arthur,M,
Asi,Baie Dankie,Asis,Asis,F,Asi & Asis = BD; Asia & Asiatic = Crossing
asis ,Baie Dankie,Asis,Asis,F,
asis,Baie Dankie,Asis,Asis,F,
 Asis,Baie Dankie,Asis,Asis,F,
asis ,Baie Dankie,Asis,Asis,F,
Asi,Baie Dankie,Asis,Asis,F,
Asis ,Baie Dankie,Asis,Asis,F,
ass,Baie Dankie,Ass,Asseblief,M,
asseblief ,Baie Dankie,Ass,Asseblief,M,
 Ass,Baie Dankie,Ass,Asseblief,M,
Ass ,Baie Dankie,Ass,Asseblief,M,
 Asseblief,Baie Dankie,Ass,Asseblief,M,
 Asseblief ,Baie Dankie,Ass,Asseblief,M,
Ass.,Baie Dankie,Ass,Asseblief,M,
Asseblief ,Baie Dankie,Ass,Asseblief,M,
Bin/Kom ,Baie Dankie,Bin/Kom,Komie,M,
Kom ,Baie Dankie,Bin/Kom,Komie,M,
Baby Aapi 2017,Baie Dankie,Aant,Aantreklik,M,
Baby Aapi 2018,Baie Dankie,,,,
Baby Gese 2017,Baie Dankie,Baby Gese 2017,,,
Baby Heer,Baie Dankie,Hond,Hondjie,F,
Honj,Baie Dankie,Hond,Hondjie,F,
Baby Heer 2016,Baie Dankie,Hond,Hondjie,F,
 Honji,Baie Dankie,Hond,Hondjie,F,
honj,Baie Dankie,Hond,Hondjie,F,
Honji,Baie Dankie,Hond,Hondjie,F,
Hond ,Baie Dankie,Hond,Hondjie,F,
Hondi,Baie Dankie,Hond,Hondjie,F,
baby heer,Baie Dankie,Hond,Hondjie,F,
Baby Heer 2017,Baie Dankie,Hee,Heelal,M,
Hibi ,Baie Dankie,Hibi,Hibiscus,F,
hibi,Baie Dankie,Hibi,Hibiscus,F,
Hibiscus,Baie Dankie,Hibi,Hibiscus,F,
 Hicc,Baie Dankie,Hibi,Hibiscus,F,
Hicc,Baie Dankie,Hibi,Hibiscus,F,
nibi,Baie Dankie,Hibi,Hibiscus,F,
 hibi,Baie Dankie,Hibi,Hibiscus,F,
Baby Hipp,Baie Dankie,Hibi,Hibiscus,F,
 hibi,Baie Dankie,Hibi,Hibiscus,F,
Hia ,Baie Dankie,Hia,Hiasint,M,
Hias,Baie Dankie,Hia,Hiasint,M,
Baby Hipp 2018,Baie Dankie,Hia,Hiasint,M,
.Baby Hipp,Baie Dankie,Hibi,Hibiscus,F,
Baby Hipp 2016,Baie Dankie,Hibi,Hibiscus,F,
Baby hipp,Baie Dankie,Hibi,Hibiscus,F,
Mid,Baie Dankie,Midd,Middag,F,
Midd ,Baie Dankie,Midd,Middag,F,
Baby Miel 2015,Baie Dankie,Midd,Middag,F,
Baby Miel 2017 ,Baie Dankie,Baby Miel 2017,Baby Miel 2017,unk,
Baby Numb 2017 ,Baie Dankie,Baby Numbies 2017,Baby Numbies 2017,,
Baby nurks 2017,Baie Dankie,Nuu,Nuuskierig,M,
Baby Nurk 2017,Baie Dankie,Nuu,Nuuskierig,M,
Baby Nurks 2017,Baie Dankie,Nuu,Nuuskierig,M,
Nuus,Baie Dankie,Nuu,Nuuskierig,M,
Nuu ,Baie Dankie,Nuu,Nuuskierig,M,
 Baby Nurk 2017,Baie Dankie,Nuu,Nuuskierig,M,
Baby Nies 2014 ,Baie Dankie,Baby Nies 2014,Baby Nies 2014,,
Non ,Baie Dankie,Non,Nonnitgie,M,
Nonn,Baie Dankie,Non,Nonnitgie,M,
Baby Nurk 2017,Baie Dankie,Nuu,Nuuskierig,M,
obsessie,Baie Dankie,Obse,Obsessie,F,
obse,Baie Dankie,Obse,Obsessie,F,
Obse ,Baie Dankie,Obse,Obsessie,F,
obse.,Baie Dankie,Obse,Obsessie,F,
Oerw ,Baie Dankie,Oerw,Oerwood,F,
Oerwood,Baie Dankie,Oerw,Oerwood,F,
Baby Ouli 2018,Baie Dankie,Oerw,Oerwood,F,
Obse.,Baie Dankie,Obse,Obsessie,F,
obse ,Baie Dankie,Obse,Obsessie,F,
Baby Ouli 2017,Baie Dankie,Obse,Obsessie,F,
Baby Pann 2017,Baie Dankie,Baby Pann 2017,Baby Pann 2017,,
Baby Pann 2018,Baie Dankie,,,,
Baby Potj 2017,Baie Dankie,Pom,Pomelo,M,
Baby Potj 2018,Baie Dankie,Baby Potj 2018,Baby Potj 2018,,
baby Siel 2017,Baie Dankie,Sirk,Sirkus,F,
Sirkus,Baie Dankie,Sirk,Sirkus,F,
Tipi ,Baie Dankie,Tipi,Tipies,F,
Tipp,Baie Dankie,Tipi,Tipies,F,
Tipies,Baie Dankie,Tipi,Tipies,F,
Baby Tipp 2012,Baie Dankie,Baby Tipi 2012,Baby Tipi 2012,,
Baby Tipi 2012 ,Baie Dankie,Baby Tipi 2012,Baby Tipi 2012,,
Sirk ,Baie Dankie,Sirk,Sirkus,F,
Soc ,Baie Dankie,Soc,Socotora,M,
 Soc,Baie Dankie,Soc,Socotora,M,
sirk,Baie Dankie,Sirk,Sirkus,F,
Baby Siel 2017,Baie Dankie,Sirk,Sirkus,F,
Baby Riss 2017,Baie Dankie,Rus,Rustig,,
Baby Siel 2018,Baie Dankie,Baby Siel 2018,Baby Siel 2018,,
Chou-chou,Baie Dankie,Enge,Engels,F,
Enge (Chou),Baie Dankie,Enge,Engels,F,
Lboks,Baie Dankie,Gese,Gesels,F,
LBoks,Baie Dankie,Gese,Gesels,F,
 Lblind,Baie Dankie,LBlind,Lblind,F,
Little Blind,Baie Dankie,LBlind,Little blind,F,
LBlind ,Baie Dankie,LBlind,Little blind,F,
lBlind ,Baie Dankie,LBlind,Little blind,F,
 LBlind ,Baie Dankie,LBlind,Little blind,F,
Little blind,Baie Dankie,LBlind,Little blind,F,
 Nyo ,Baie Dankie,Nyo,Nyoni,M,
Nyo ,Baie Dankie,Nyo,Nyoni,M,
Nyoni,Baie Dankie,Nyo,Nyoni,M,
Base,Baie Dankie,Bas,Base,M,
Bas ,Baie Dankie,Bas,Base,M,
hlo,Baie Dankie,Hlo,Hlo,M,
 hlo,Baie Dankie,Hlo,Hlo,M,
Hle ,Baie Dankie,Hlo,Hlo,M,
 Hlo,Baie Dankie,Hlo,Hlo,M,
Hle,Baie Dankie,Hlo,Hlo,M,
Hlo ,Baie Dankie,Hlo,Hlo,M,
