"LH_RowNumber","AnimalCode","AnimalName","OtherID","Sex","DOB","FirstDate","DOB_estimate","Age_yr","Age_class","Group_mb","StartDate_mb","EndDate_mb","Tenure_type","Mother","Father","ReliableData","Fate_probable","Comments"
1,"Afr","Afrikaans",NA,"M","2010-10-19","2010-10-19","2010-10-19",13.08,"adult","AK","2015-06-29","2022-07-26","MigrationGroup1","Asis",NA,NA,NA,NA
1,"Afr","Afrikaans",NA,"M","2010-10-19","2010-10-19","2010-10-19",13.08,"adult","BD","2010-10-19","2015-06-25","BirthGroup","Asis",NA,NA,NA,NA
2,NA,"Pompon",NA,"M",NA,"2010-10-26","2007-11-01",NA,"adult","RC","2010-10-26","2011-11-01","BirthGroup",NA,NA,"No",NA,"Probably born in 2009"
3,"Nies","Niese",NA,"F","2010-10-31","2010-10-31","2010-10-31",13.04,"adult","BD","2010-10-31","2014-12-14","BirthGroup","Numbies",NA,NA,"dead","Presumed dead"
4,"Gugu","Gugu",NA,"F","2010-11-02","2010-11-02","2010-11-02",13.04,"adult","AK","2010-11-02","2021-03-18","BirthGroup","Gagasa",NA,NA,"dead","Body found floating on the second dam on the 18/03/2021"
5,"Hib","Hibe",NA,"M","2010-11-02","2010-11-02","2010-11-02",13.04,"adult","AK","2010-11-02","2015-05-15","BirthGroup","Hamba","Sanbonani",NA,NA,NA
6,"Ifu","Ifu",NA,"M","2010-11-02","2010-11-02","2010-11-02",13.04,"adult","AK","2010-11-02","2015-03-30","BirthGroup","Isilonda",NA,NA,NA,NA
7,"Mvu","Mvula",NA,"M","2010-11-02","2010-11-02","2010-11-02",13.04,"adult","CR","2016-12-29","2018-02-23","MigrationGroup2","Mamoobi","Sanbonani",NA,NA,NA
7,"Mvu","Mvula",NA,"M","2010-11-02","2010-11-02","2010-11-02",13.04,"adult","BD","2015-06-13","2016-12-17","MigrationGroup1","Mamoobi","Sanbonani",NA,NA,NA
7,"Mvu","Mvula",NA,"M","2010-11-02","2010-11-02","2010-11-02",13.04,"adult","AK","2010-11-02","2015-06-13","BirthGroup","Mamoobi","Sanbonani",NA,NA,NA
8,"Guy","Guyaquil",NA,"M","2010-11-05","2010-11-05","2010-11-05",13.03,"adult","NH","2010-11-05","2015-04-22","BirthGroup","Geneva",NA,NA,NA,NA
9,NA,"2nd MJ",NA,"M",NA,"2010-11-08","2006-11-08",NA,"adult","RC","2010-11-08","2010-11-08","MigrationGroup1",NA,NA,"No",NA,NA
10,"Dub","Dublin",NA,"M",NA,"2010-11-08","2006-11-08",NA,"adult","NH","2010-11-08","2012-10-27","MigrationGroup1",NA,NA,NA,"migrated","Seen once more in NH on 2013/01/25, unclear if error or not, date of immigration is likely just first seen date"
11,"Mil","Milano",NA,"M",NA,"2010-11-08","2006-11-08",NA,"adult","BD","2014-04-28","2015-05-02","MigrationGroup3",NA,NA,NA,"migrated","Not seen at noha for 5 months then returned, date of immigration is likely just first seen date, seen in BD v infrequently in months before final seen date"
11,"Mil","Milano",NA,"M",NA,"2010-11-08","2006-11-08",NA,"adult","NH","2011-10-20","2013-09-30","MigrationGroup2",NA,NA,NA,"migrated","Not seen at noha for 5 months then returned, date of immigration is likely just first seen date, seen in BD v infrequently in months before final seen date"
11,"Mil","Milano",NA,"M",NA,"2010-11-08","2006-11-08",NA,"adult","NH","2010-11-08","2011-03-30","MigrationGroup1",NA,NA,NA,"migrated","Not seen at noha for 5 months then returned, date of immigration is likely just first seen date, seen in BD v infrequently in months before final seen date"
12,"Nap","Napoli",NA,"M",NA,"2010-11-08","2006-11-08",NA,"adult","NH","2010-11-08","2011-01-24","MigrationGroup1",NA,NA,NA,NA,NA
13,"Pari","Paris",NA,"F",NA,"2010-11-08","2010-11-08",NA,"adult","NH","2010-11-08","2015-08-18","BirthGroup",NA,NA,NA,"dead","dead body found on 18/08/15"
14,"Roma","Roma",NA,"F",NA,"2010-11-08","2010-11-08",NA,"adult","NH","2010-11-08","2021-02-17","BirthGroup",NA,NA,NA,NA,"UNK birth date 17-02-18 to 23-02-18 roma missing ; Found weak but alive with massive injuries on the 8th of feb 2021, seen once since then."
15,"Troi","Troia",NA,"F",NA,"2010-11-08","2010-11-08",NA,"adult","NH","2010-11-08","2016-04-13","BirthGroup",NA,NA,NA,NA,"UNK birth date + Split group"
15,"Troi","Troia",NA,"F",NA,"2010-11-08","2010-11-08",NA,"adult","Iceland","2016-04-13","2016-07-12","GroupSplit",NA,NA,NA,NA,"UNK birth date + Split group"
