"AnimalName","AnimalCode","DOB","FirstDate","DOB_estimate","Age_yr","Age_class"
"Afrikaans","Afr",2010-10-19,2010-10-19,"2010-10-19",13.08,"adult"
"Pompon",NA,NA,2010-10-26,"2007-11-01",NA,"adult"
"Niese","Nies",2010-10-31,2010-10-31,"2010-10-31",13.04,"adult"
"Gugu","Gugu",2010-11-02,2010-11-02,"2010-11-02",13.04,"adult"
"Hibe","Hib",2010-11-02,2010-11-02,"2010-11-02",13.04,"adult"
"Ifu","Ifu",2010-11-02,2010-11-02,"2010-11-02",13.04,"adult"
"Mvula","Mvu",2010-11-02,2010-11-02,"2010-11-02",13.04,"adult"
"Guyaquil","Guy",2010-11-05,2010-11-05,"2010-11-05",13.03,"adult"
"2nd MJ",NA,NA,2010-11-08,"2006-11-08",NA,"adult"
"Dublin","Dub",NA,2010-11-08,"2006-11-08",NA,"adult"
"Milano","Mil",NA,2010-11-08,"2006-11-08",NA,"adult"
"Napoli","Nap",NA,2010-11-08,"2006-11-08",NA,"adult"
"Paris","Pari",NA,2010-11-08,"2010-11-08",NA,"adult"
"Roma","Roma",NA,2010-11-08,"2010-11-08",NA,"adult"
"Troia","Troi",NA,2010-11-08,"2010-11-08",NA,"adult"
"Uppsala","Upps",NA,2010-11-08,"2010-11-08",NA,"adult"
"Zara","Zara",NA,2010-11-08,"2010-11-08",NA,"adult"
"Adonis","Ado",NA,2010-11-09,"2006-11-09",NA,"adult"
"Babelas","Bab",NA,2010-11-09,"2010-11-09",NA,"adult"
"Boks","Bok",NA,2010-11-09,"2006-11-09",NA,"adult"
"Foei","Foei",NA,2010-11-09,"2010-11-09",NA,"adult"
"Kaiki","Kaik",NA,2010-11-09,"2010-11-09",NA,"adult"
"Lekker","Lek",NA,2010-11-09,"2006-11-09",NA,"adult"
"Little Skollie",NA,NA,2010-11-09,"2010-11-09",NA,"adult"
"Mooi","Mooi",NA,2010-11-09,"2010-11-09",NA,"adult"
"Numbies","Numb",NA,2010-11-09,"2010-11-09",NA,"adult"
"Oulik","Ouli",NA,2010-11-09,"2010-11-09",NA,"adult"
"Pik","Pik",NA,2010-11-09,"2006-11-09",NA,"adult"
"Prinses","Prin",NA,2010-11-09,"2010-11-09",NA,"adult"
"Skollie","Sko",NA,2010-11-09,"2006-11-09",NA,"adult"
"Feekie","Feek",NA,2010-11-10,"2010-11-10",NA,"adult"
"Nkosikasi","Nkos",NA,2010-11-11,"2010-11-11",NA,"adult"
"Xoxocotla","Xox",2010-11-15,2010-11-15,"2010-11-15",13,"adult"
"Heerlik","Heer",NA,2010-11-16,"2010-11-16",NA,"adult"
"Mielies","Miel",NA,2010-11-16,"2010-11-16",NA,"adult"
"Yster","Yst",NA,2010-11-17,"2006-11-17",NA,"adult"
"Jinka","Jink",2010-11-22,2010-11-22,"2010-11-22",12.98,"adult"
"Xai","Xai",NA,2010-11-22,"2007-11-01",NA,"adult"
"Beminde","Bemi",NA,2010-11-23,"2010-11-23",NA,"adult"
"Hakie","Haki",NA,2010-11-23,"2010-11-23",NA,"adult"
"Kies","Kie",2010-11-23,2010-11-23,"2010-11-23",12.98,"adult"
"Tannie","Tann",NA,2010-11-26,"2010-11-26",NA,"adult"
"Dwergie","Dwe",NA,2010-12-01,"2010-12-01",NA,"adult"
"Pannekoekie","Pann",NA,2010-12-01,"2010-12-01",NA,"adult"
"Wolfie","Wol",NA,2010-12-01,"2010-12-01",NA,"adult"
"Xai-Xai","Xaix",NA,2010-12-03,"2010-12-03",NA,"adult"
"Little Napoli",NA,NA,2010-12-04,"2006-12-04",NA,"adult"
"Gigolo","Gig",NA,2010-12-07,"2006-12-07",NA,"adult"
"Michael Jackson","Mic",NA,2010-12-08,"2006-12-08",NA,"adult"
"Mfolozi","Mfo",NA,2010-12-12,"2008-05-02",NA,"adult"
"Black tits",NA,NA,2010-12-13,"2010-12-13",NA,"adult"
"Drew","Drew",NA,2010-12-13,"2010-12-13",NA,"adult"
"Little Balls",NA,NA,2010-12-13,"2006-12-13",NA,"adult"
