"LH_RowNumber","AnimalCode","AnimalName","OtherID"
1,"Afr","Afrikaans",NA
2,NA,"Pompon",NA
3,"Nies","Niese",NA
4,"Gugu","Gugu",NA
5,"Hib","Hibe",NA
6,"Ifu","Ifu",NA
7,"Mvu","Mvula",NA
8,"Guy","Guyaquil",NA
9,NA,"2nd MJ",NA
10,"Dub","Dublin",NA
11,"Mil","Milano",NA
12,"Nap","Napoli",NA
13,"Pari","Paris",NA
14,"Roma","Roma",NA
15,"Troi","Troia",NA
16,"Upps","Uppsala",NA
17,"Zara","Zara",NA
18,"Ado","Adonis",NA
19,"Bab","Babelas","M30"
20,"Bok","Boks",NA
21,"Foei","Foei",NA
22,"Kaik","Kaiki",NA
23,"Lek","Lekker",NA
24,NA,"Little Skollie",NA
25,"Mooi","Mooi",NA
26,"Numb","Numbies",NA
27,"Ouli","Oulik",NA
28,"Pik","Pik",NA
29,"Prin","Prinses",NA
30,"Sko","Skollie",NA
31,"Feek","Feekie",NA
32,"Nkos","Nkosikasi",NA
33,"Xox","Xoxocotla",NA
34,"Heer","Heerlik",NA
35,"Miel","Mielies",NA
36,"Yst","Yster",NA
37,"Jink","Jinka",NA
38,"Xai","Xai",NA
39,"Bemi","Beminde",NA
40,"Haki","Hakie",NA
41,"Kie","Kies",NA
42,"Tann","Tannie",NA
43,"Dwe","Dwergie",NA
44,"Pann","Pannekoekie",NA
45,"Wol","Wolfie",NA
46,"Xaix","Xai-Xai",NA
47,NA,"Little Napoli",NA
48,"Gig","Gigolo",NA
49,"Mic","Michael Jackson",NA
50,"Mfo","Mfolozi","Hunchback"
51,NA,"Black tits",NA
52,"Drew","Drew",NA
53,NA,"Little Balls",NA
54,NA,"Mini MJ",NA
55,"Pink","Pink",NA
56,"Rad","Radja",NA
57,"Skin","Skin",NA
58,"Ist","Istanbul",NA
59,"Qui","Quito","Santiago"
60,"Gun","Guns and Roses",NA
61,"Hamb","Hamba",NA
62,"Isil","Isilonda",NA
63,"SMA","SMA",NA
64,"Ulak","Ulaka",NA
65,"Elv","Elvis Presley",NA
66,"Gin","Gino",NA
67,"Jim","Jimmy Hendricks",NA
68,"Kare","Karen Zoid",NA
69,"Oom","Oom",NA
70,"Pat","Pat Lansky",NA
71,"Gene","Geneva",NA
72,"Bry","Bryan",NA
73,"Gaga","Gagasa",NA
74,"Jaka","Jakarta",NA
75,"Mamo","Mamoobi",NA
76,"Oku","Okucane","Dot"
77,"Yaou","Yaounde",NA
78,"Quee","Queen",NA
79,"Wil","William",NA
80,"Jam","James",NA
81,"Lizz","Lizz",NA
82,"Asis","Asis",NA
83,"Dian","Diana",NA
84,"Vene","Venezia",NA
85,"Bogo","Bogota",NA
86,"Laus","Lausanne",NA
87,NA,"Little Blind","JL"
88,"Dagg","Dagga",NA
89,"Don","Donsig",NA
90,"Enge","Engel","Chouchou;JC"
91,"Ert","Ertjies","JA;Smallballs"
92,"Gro","Grote","JI;Bigballs"
93,"Namn","Nam nam",NA
94,"Gese","Gesels","Little boks;JG"
95,"Snor","Snortjie",NA
96,"Bin","Bingo","JM"
97,"Riss","Rissiepit",NA
98,"Tipi","Tipies",NA
99,"Vrou","Vroutjie",NA
100,"Wiet","Wietnie",NA
101,"Ham","Hamlet","SMA"
102,"Suzy","Suzy",NA
103,"Rus","Rusk",NA
104,"Elt","Elton","SMB"
105,"Har","Harry",NA
106,"Tun","Tunis",NA
107,"New","Newton",NA
108,"Jac","Jackie","Little Jackie;JD"
109,"Mer","Merlin","Little Merlin;JF"
110,"Mou","Mousse","JG"
111,"The","Theodore",NA
112,"Hwa","Hwahwaza",NA
113,"Amyw","Amy Winehouse",NA
114,"Bru","Bruce Springsteen",NA
115,NA,"SF1",NA
116,"Spo","Spotted",NA
117,"Vas","Vasco Rossi",NA
118,"Vin","Vincent","Darkface"
119,"Giy","Giya",NA
120,"Spo","Spook",NA
121,"Cind","Cindy Lauper",NA
122,"Nok","Noktober",NA
123,"Lom","Lome",NA
124,NA,"Upside down",NA
125,"Modj","Modjadji",NA
126,"Bam","Bamako",NA
127,"Evan","Evanescence",NA
128,"Ogi","Ogies",NA
129,"Art","Arthur",NA
130,"Nil","Nil",NA
131,"Akk","Akkedis",NA
132,"Idwa","Idwala",NA
133,"Poe","Poeding",NA
134,"Gaya","Gaya",NA
135,"Vak","Vakie",NA
136,"Jun","Juneau",NA
137,"Byr","Byron","SMC;Mini-Elton"
138,"Cha","Charles","Little Charles;JB"
139,"Reva","Reva",NA
140,"Ubu","Ububhibhi",NA
141,"BHak11","Baby Hak 2011",NA
142,"Ngu","Ngubu",NA
143,"Xer","Xeres",NA
144,"Ulu","Ulundi",NA
145,"Zio","Zion",NA
146,"Tal","Talinn",NA
147,"Roo","Rooikat",NA
148,"Koni","Koninging",NA
149,"Watn","Watnou",NA
150,"Bras","Brasilia",NA
151,"Emma","Emma",NA
152,"Lhas","Lhassa",NA
153,"Neu","Neuchatel","M10"
154,"Pret","Pretoria",NA
155,"Rio","Rio",NA
156,"Tor","Toronto",NA
157,"Vict","Victoria",NA
158,"Zee","Zeerust",NA
159,"Zur","Zurich",NA
