"AnimalCode","AnimalID","Source","BabyName","Count_AnimalCode","Remove"
"Bin","Bin","Mathias_Duplicated_AnimalCode_MiguelCorrected_20220111.csv","No",2,""
"Bin","Bingo","Mathia_NameCorrection_20211118.csv","No",2,""
"Enge","Engel","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Enge","Engels","Mathia_NameCorrection_20211118.csv","No",2,""
"Fen","Feniks","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Fen","Fenix","Mathia_NameCorrection_20211118.csv","No",2,""
"Gabi","Gabillou","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Gabi","Gabilou","Mathia_NameCorrection_20211118.csv","No",2,""
"Jac","Jack","Mathias_Duplicated_AnimalCode_MiguelCorrected_20220111.csv","No",2,""
"Jac","Jackie","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Kom","Kom","Mathias_Duplicated_AnimalCode_MiguelCorrected_20220111.csv","No",2,""
"Kom","Kommunis","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"LBlind","Lblind","Mathias_Duplicated_AnimalID_MiguelCorrected_20220111.csv","No",2,""
"LBlind","LBlind","Mathias_Duplicated_AnimalCode_MiguelCorrected_20220111.csv","No",2,""
"Mat","Mathimula","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Mat","Matimula","Mathia_NameCorrection_20211118.csv","No",2,""
"Ndi","Ndiki","Mathias_Duplicated_AnimalCode_MiguelCorrected_20220111.csv","No",2,""
"Ndi","Ndiza","Mathias_Duplicated_AnimalCode_MiguelCorrected_20220111.csv","No",2,""
"Oerw","Oerwood","Mathia_NameCorrection_20211118.csv","No",2,""
"Oerw","Oerwoud","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Oku","Okucane","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Oku","Okuncane","Mathia_NameCorrection_20211118.csv","No",2,""
"Pik","Pik","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Pik","Pikito","Mathia_NameCorrection_20211118.csv","No",2,""
"Poff","Pofferthie","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Poff","Poffertjie","Mathia_NameCorrection_20211118.csv","No",2,""
"Pro","Propiano","Mathia_NameCorrection_20211118.csv","No",2,""
"Pro","Propriano","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Skem","Skem","Mathia_NameCorrection_20211118.csv","No",2,""
"Skem","Skemer","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Snor","Snorretjie","Mathia_NameCorrection_20211118.csv","No",2,""
"Snor","Snortjie","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
"Ura","Uranium","Mathia_NameCorrection_20211118.csv","No",2,""
"Ura","Uranium City","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",2,""
NA,"New male (look like Rio)","LH_AnimalIDCodes_MiguelCorrected_20220111.csv","No",28,""
