"AnimalCode","AnimalName","DOB"
"Afr","Afrikaans",2010-10-19
"Nies","Niese",2010-10-31
"Gugu","Gugu",2010-11-02
"Hib","Hibe",2010-11-02
"Ifu","Ifu",2010-11-02
"Mvu","Mvula",2010-11-02
"Guy","Guyaquil",2010-11-05
"Xox","Xoxocotla",2010-11-15
"Jink","Jinka",2010-11-22
"Kie","Kies",2010-11-23
"Hwa","Hwahwaza",2011-09-16
"Giy","Giya",2011-10-07
"Nok","Noktober",2011-10-26
"Lom","Lome",2011-10-27
"Modj","Modjadji",2011-10-31
"Bam","Bamako",2011-11-01
"Ogi","Ogies",2011-11-02
"Akk","Akkedis",2011-11-07
"Idwa","Idwala",2011-11-10
"Poe","Poeding",2011-11-11
"Gaya","Gaya",2011-11-14
"Vak","Vakie",2011-11-17
"Jun","Juneau",2011-11-20
"Reva","Reva",2011-11-21
"Ubu","Ububhibhi",2011-11-21
"BHak11","Baby Hak 2011",2011-11-22
"Ngu","Ngubu",2011-11-26
"Xer","Xeres",2011-11-29
"Ulu","Ulundi",2011-12-01
"Zio","Zion",2011-12-02
"Tal","Talinn",2011-12-04
"Roo","Rooikat",2011-12-05
"Pue","Puerto",2011-12-27
"BMoo11","Baby Moo 2011",2012-01-23
"Hol","Hola",2012-09-11
"Len","Lennon",2012-09-19
"Yoog","Yoogali",2012-09-22
"Vale","Valerie",2012-09-24
"BDag12","Baby Dag 2012",2012-09-25
"BCam12","Baby Cam 2012",2012-09-29
"Gele","Geleza",2012-09-29
"Bul","Bullebak",2012-10-01
"Nurk","Nurks",2012-10-01
"Siel","Siele",2012-10-01
"BEmm12","Baby Emm 2012",2012-10-08
"Deli","Delilah",2012-10-08
"BTip12","Baby Tip 2012",2012-10-09
"Iji","Ijinja",2012-10-09
"Gar","Garoua",2012-10-11
"Tir","Tirroan",2012-10-11
"Hey","Heyi",2012-10-15
"Jill","Jillin",2012-10-15
"Mun","Mungunya",2012-10-15
"BBog12","Baby Bog 2012",2012-10-18
"Wur","Wurm",2012-10-18
"BUpp12","Baby Upp 2012",2012-10-19
"Onb","Onbeskof",2012-10-19
"Hipp","Hippie",2012-10-22
"Nyo","Nyoni",2012-10-22
"Unw","Unwabo",2012-10-22
"Alsi","Alsiende",2012-10-23
"Rhe","Rheban",2012-10-27
"BLau12","Baby Lau 2012",2012-10-29
"Mevr","Mevrou",2012-10-29
"BKai12","Baby Kai 2012",1905-07-02
"Zhe","Zhengzhou",2012-11-02
"Gho","Ghozololo",2012-11-05
"Xian","Xian",2012-11-05
"Vul","Vulkaan",2012-11-14
"Rak","Rakker",2012-11-16
"Hlo","Hlokoloza",2012-12-23
"Kaya","Kaya",2013-02-07
"BHam13","Baby Ham 2013",2013-10-03
"BBem13","Baby Beminde 2013",2013-10-22
"BGag13","Baby Gaga 2013",2013-10-24
"Bos","Boston",2013-10-28
"Jix","Jixi",2013-10-31
"Uji","Uji",2013-10-31
"Ilon","Ilonga",2013-11-04
"Aapi","Aapie",2013-11-11
"Avo","Avon",2013-11-11
"Zank","Zankara",2013-11-11
"BWie13","Baby Wietnie 2013",2013-11-12
"Gla","Glastonbury",2013-11-12
"Mba","Mbazwane",2013-11-15
"Renn","Rennes",2013-11-15
"Inkw","Inkwazi",2013-11-18
"Prai","Praia",2013-11-19
"Xala","Xalapa",2013-11-20
"Potj","Potjie",2013-11-23
"Zan","Zanzibar",2013-11-25
"Mis","Mississipi",2013-11-27
"Hum","Humusha",2014-09-22
"Zink","Zinkwazi",2014-10-01
"BYao14","Baby Yaou 2014",2014-10-09
"BSuz14","Baby Suzy 2014",2014-10-11
"Arn","Arno",2014-10-17
"BNal14","Baby Nala 2014",2014-10-18
"Eina","Eina",2014-10-18
"Ginq","Ginqinka",2014-10-18
"Hlu","Hluhluwe",2014-10-18
"Rup","Rupert",2014-10-18
"BJen14","Baby Jenn 2014",2014-10-20
"Gaa","Gaaf",2014-10-20
"Ples","Plesier",2014-10-20
"Mat","Mathimula",2014-10-21
"BF1014","BabyTere (F10) 2014",2014-10-22
"BMie14","Baby Mielies 2014",2014-10-27
"Jed","Jeddah",2014-10-27
"Mee","Meerkat",2014-10-27
"BVic14","Baby Vict 2014",2014-10-28
"Far","Faroe",2014-10-28
NA,"Kangaroo",2014-10-28
"Lanc","Lancey",2014-10-29
"Tou","Toulouse",2014-10-30
"Ghid","Ghida",2014-10-31
"Hei","Heilweis",2014-10-31
"Nyan","Nyanga",2014-10-31
"Gubh","Gubha",2014-11-01
"Ndi","Ndiza",2014-11-01
"BBus14","Baby Bushy 2014",2014-11-03
"BJin14","Baby Jink 2014",2014-11-03
"BPan14","Baby Pannekoekie 2014",2014-11-03
"Ihl","Ihlane",2014-11-03
"Safa","Safari",2014-11-03
"Lima","Lima",2014-11-04
"Riy","Riyadh",2014-11-04
"Ass","Asseblief",2014-11-05
"Rede","Redelik",2014-11-10
"BNie14","Baby Niese 2014",2014-11-11
NA,"Greenland",2014-11-12
"Ted","Teddibeer",2014-11-12
"Xiny","Xinyi",2014-11-14
"Obe","Obelisk",2014-11-15
"Pro","Propriano",2014-11-19
"Kyl","Kyle",2014-11-24
"Int","Intaba",2014-11-27
"Nooi","Nooiens",2014-11-28
"Bela","Bela-Bela",2014-11-29
"Gran","Granada",2014-12-08
"Umt","Umtata",2014-12-08
"Wes","Wesley",2015-05-20
"BZei15","Baby Zeia 2015",2015-10-15
"Lill","Lilly",2015-10-16
"BTro15","Baby Troi 2015",2015-10-22
"Gala","Galati",2015-10-23
"Joha","Johannesburg",2015-10-30
"BIsi15","Baby Isil 2015",2015-11-05
"BGha15","Baby Ghan 2015",2015-11-06
"BSno15","Baby Snortjie 2015",2015-11-06
"Nirt","Nirtjies",2015-11-06
"BNes15","Baby Ness 2015",2015-11-09
"Jia","Jiamusi",2015-11-09
"Midd","Middag",2015-11-09
"Bri","Brisbane",2015-11-10
"BMam15","Baby Mamo 2015",2015-11-11
"BAar15","Baby Aare 2015",2015-11-12
"BNko15","Baby Nkos 2015",2015-11-12
"Pap","Papsak",2015-11-12
"Ric","Richard",2015-11-12
"BGug15","Baby Gugu 2015",2015-11-16
"Ula","Ulaanbaatar",2015-11-16
"Zhu","Zhukovsky",2015-11-16
"BDia15","Baby Diana 2015",2015-11-17
"Law","Lawrence",2015-11-17
"BIdw15","Baby Idwa 2015",2015-11-18
"Bari","Bari",2015-11-18
"Has","Hasie",2015-11-19
"Oort","Oortjies",2015-11-20
"Add","Adder",2015-11-23
"Pru","Pruszkow",2015-11-23
"Rey","Reykjavik",2015-11-23
"Rosl","Roslin",2015-11-23
"BGag15","Baby Gaga 2015",2015-11-26
"BTon15","Baby Tonga 2015",2015-11-27
"BUmn15","Baby Umnak 2015",2015-11-28
"Rat","Ratel",2015-11-30
"BPear15","Baby Pearl 2015",2015-12-03
"Kate","Kate",2015-12-09
"Dio","Dion",2015-12-12
"Puol","Puolka",2015-12-28
"Jane","Jane",2016-01-15
