"AnimalID","From","To","Group","Source","NatalGroup","GroupNB"
"2ndmj",2010-11-08,2010-11-08,"RC","Immigrants1_NoImmiDate_NonNatal","No",1
"Aaalva",2019-11-01,2022-11-17,"KB","Natal_DOB_NonMigrant_Alive","Yes",1
"Aalwyn",2018-11-27,2022-11-17,"BD","Natal_DOB_NonMigrant_Alive","Yes",1
"Aantreklik",2017-10-17,2022-11-17,"BD","Natal_DOB_NonMigrant_Alive","Yes",1
"Aapie",2013-11-11,2022-11-17,"BD","Natal_DOB_NonMigrant_Alive","Yes",1
"Aaragon",2016-11-16,2022-11-17,"KB","Natal_DOB_NonMigrant_Alive","Yes",1
"Aare",2013-02-08,2022-11-17,"KB","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Aarhus",2017-10-09,2022-11-17,"KB","Natal_DOB_NonMigrant_Alive","Yes",1
"Adam",2014-08-14,2016-11-14,"LT","Immigrants1_ImmiDate","No",1
"Adder",2015-11-23,2021-10-04,"BD","Natal_DOB_Disappeared","Yes",1
"Adonis",2010-11-09,2011-02-08,"BD","Immigrants1_ImmiDate","No",1
"Afrikaans",2010-10-19,2015-06-25,"BD","Natal_DOB_Emi","Yes",1
"Afrikaans",2015-06-29,2016-02-16,"AK","Immigrants1_ImmiDate","No",2
"Ahekinkinga",2010-12-18,2012-02-24,"AK","Immigrants1_ImmiDate","No",1
"Akkedis",2011-11-07,2016-05-28,"BD","Natal_DOB_Emi","Yes",1
"Akkedis",2016-06-10,2018-07-20,"CR","Immigrants1_ImmiDate","No",2
"Alcatraz",2016-01-14,2018-07-20,"CR","Natal_NoDOB_Disappeared","Yes",1
"Alsiende",2012-10-23,2015-12-21,"BD","Natal_DOB_Disappeared","Yes",1
"Amazon",2012-03-13,2015-05-25,"KB","Natal_NoDOB_Disappeared","Yes",1
"Amgoun",2017-10-09,2019-02-27,"KB","Natal_DOB_Disappeared","Yes",1
"Amstel",2021-10-12,2022-11-17,"KB","Natal_DOB_NonMigrant_Alive","Yes",1
"Amur",2012-05-09,2018-12-08,"KB","Natal_NoDOB_Disappeared","Yes",1
"Amywinehouse",2011-09-29,2011-11-25,"RC","Natal_NoDOB_Disappeared","Yes",1
"Andrew",2013-02-09,2014-04-12,"LT","Natal_NoDOB_Disappeared","Yes",1
"Antarctica",2014-12-31,2017-02-12,"CR","Natal_NoDOB_Splinter","Yes",1
"Apa",2021-06-04,2022-07-25,"LT","Immigrants1_ImmiDate","No",1
"Apa",2022-07-27,2022-09-14,"BD","Immigrants2_ImmiDate_ToAdd","No",2
"Apa",2022-09-22,2022-11-17,"LT","Immigrants3_ImmiDate","No",3
"Appel",2020-11-04,2022-11-17,"BD","Natal_DOB_NonMigrant_Alive","Yes",1
"Ardig",2018-11-15,2020-10-01,"BD","Natal_DOB_Disappeared","Yes",1
"Arno",2014-10-17,2019-05-13,"KB","Natal_DOB_Disappeared","Yes",1
"Arthur",2011-11-03,2012-02-14,"LT","Immigrants1_ImmiDate","No",1
"Arthur",2012-04-19,2012-04-30,"AK","Immigrants2_ImmiDate_ToAdd","No",2
"Arthur",2012-07-25,2014-05-20,"BD","Immigrants3_ImmiDate","No",3
"Asis",2011-02-19,2022-11-17,"BD","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Askies",2021-10-27,2022-11-17,"BD","Natal_DOB_NonMigrant_Alive","Yes",1
"Asseblief",2014-11-05,2019-05-30,"BD","Natal_DOB_Emi","Yes",1
"Asseblief",2019-05-30,2022-11-17,"CR","Immigrants1_NoImmiDate_Natal","No",2
"Athabasca",2018-10-26,2022-11-17,"KB","Natal_DOB_NonMigrant_Alive","Yes",1
"Athena",2022-06-28,2022-11-17,"IF","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Atitlan",2015-04-28,2016-01-25,"KB","Immigrants1_ImmiDate","No",1
"Atitlan",2016-03-03,2020-02-25,"AK","Immigrants2_ImmiDate_ToAdd","No",2
"Auckland",2012-02-27,2014-09-25,"NH","Immigrants1_ImmiDate","No",1
"Avon",2013-11-11,2018-04-06,"KB","Natal_DOB_Emi","Yes",1
"Avon",2018-05-14,2018-06-12,"NH","Immigrants1_ImmiDate","No",2
"Avon",2018-06-12,2020-06-16,"Ifamily","Immigrants2_ImmiDate_ToAdd","No",3
"Awash",2020-11-03,2022-11-17,"KB","Natal_DOB_NonMigrant_Alive","Yes",1
"Babelas",2010-11-09,2014-05-15,"BD","Natal_NoDOB_Emi","Yes",1
"Babelas",2014-05-19,2016-04-19,"NH","Immigrants1_ImmiDate","No",2
"Babelas",2019-06-24,2021-04-07,"LT","Immigrants2_ImmiDate_ToAdd","No",3
"Babelas",2022-06-17,2022-06-30,"LT","Immigrants3_ImmiDate","No",4
"Babyaare2015",2015-11-12,2016-02-13,"KB","Natal_DOB_Disappeared","Yes",1
"Babyamur2015",2015-10-25,2015-11-04,"KB","Natal_DOB_Disappeared","Yes",1
"Babyamur2016",2016-11-03,2016-12-15,"KB","Natal_DOB_Disappeared","Yes",1
"Babybelabela2019",2019-10-14,2019-10-14,"NH","Natal_DOB_Disappeared","Yes",1
"Babybeminde2013",2013-10-22,2013-10-24,"BD","Natal_DOB_Disappeared","Yes",1
"Babybog2012",2012-10-18,2012-12-10,"NH","Natal_DOB_Disappeared","Yes",1
"Babybushy2014",2014-11-03,2015-02-25,"LT","Natal_DOB_Disappeared","Yes",1
"Babycam2012",2012-09-29,2013-05-07,"LT","Natal_DOB_Disappeared","Yes",1
"Babydag2012",2012-09-25,2012-11-29,"BD","Natal_DOB_Emi","Yes",1
"Babydag2012",2012-11-29,2012-11-29,"InBetweeners","Immigrants1_NoImmiDate_Natal","No",2
"Babydelilah2019",2019-11-04,2019-11-07,"LT","Natal_DOB_Disappeared","Yes",1
"Babydewe2021",2021-11-16,2021-12-28,"LT","Natal_DOB_Disappeared","Yes",1
"Babydian2021",2021-09-29,2021-09-29,"LT","Natal_DOB_Disappeared","Yes",1
"Babydiana2015",2015-11-17,2016-01-19,"LT","Natal_DOB_Disappeared","Yes",1
"Babydiana2019",2019-10-29,2019-10-29,"LT","Natal_DOB_Disappeared","Yes",1
"Babydigby2017",2017-10-05,2017-10-09,"LT","Natal_DOB_Disappeared","Yes",1
"Babydigby2019",2019-10-22,2019-10-24,"LT","Natal_DOB_Disappeared","Yes",1
"Babydigby2020",2020-11-17,2020-12-30,"LT","Natal_DOB_Disappeared","Yes",1
"Babydodgyknee2021",2021-12-03,2022-01-03,"CR","Natal_NoDOB_Disappeared","Yes",1
"Babyeina2018",2018-11-13,2018-11-26,"BD","Natal_DOB_Disappeared","Yes",1
"Babyemm2012",2012-10-08,2013-05-22,"LT","Natal_DOB_Disappeared","Yes",1
"Babygaga2013",2013-10-24,2013-12-06,"AK","Natal_DOB_Disappeared","Yes",1
"Babygaga2015",2015-11-26,2016-03-07,"AK","Natal_DOB_Disappeared","Yes",1
"Babygaya2018",2018-12-24,2019-01-21,"NH","Natal_DOB_Disappeared","Yes",1
"Babygaya2019",2019-10-14,2019-10-26,"NH","Natal_DOB_Disappeared","Yes",1
"Babygeneva2018",2018-11-05,2018-11-05,"NH","Natal_DOB_Disappeared","Yes",1
"Babygese2017",2017-10-09,2017-10-12,"BD","Natal_DOB_Disappeared","Yes",1
"Babyghan2015",2015-11-06,2015-11-06,"AK","Natal_DOB_Disappeared","Yes",1
"Babygoose2021",2021-11-11,2021-11-30,"CR","Natal_NoDOB_Disappeared","Yes",1
"Babyguat2020",2020-12-02,2021-12-02,"NH","Natal_DOB_Disappeared","Yes",1
"Babyguat2021",2021-11-02,2021-11-03,"NH","Natal_DOB_Disappeared","Yes",1
"Babygugu2015",2015-11-16,2016-01-02,"AK","Natal_DOB_Disappeared","Yes",1
"Babygugu2017",2017-10-31,2018-01-11,"AK","Natal_DOB_Disappeared","Yes",1
"Babygugu2019",2019-11-09,2020-03-04,"AK","Natal_DOB_Disappeared","Yes",1
"Babyhak2011",2011-11-22,2011-12-05,"BD","Natal_DOB_Disappeared","Yes",1
"Babyham2013",2013-10-03,2013-11-10,"AK","Natal_DOB_Disappeared","Yes",1
"Babyheer2019",2019-10-28,2020-01-28,"BD","Natal_DOB_Disappeared","Yes",1
"Babyidwa2015",2015-11-18,2016-01-05,"AK","Natal_DOB_Disappeared","Yes",1
"Babyisil2015",2015-11-05,2016-01-04,"AK","Natal_DOB_Disappeared","Yes",1
"Babyjenn2014",2014-10-20,2015-02-23,"LT","Natal_DOB_Disappeared","Yes",1
"Babyjink2014",2014-11-03,2014-11-03,"NH","Natal_DOB_Disappeared","Yes",1
"Babykai2012",2012-11-01,2012-11-15,"BD","Natal_NoDOB_Emi","Yes",1
"Babykai2012",2012-11-15,2012-11-15,"InBetweeners","Immigrants1_NoImmiDate_Natal","No",2
"Babykaya2017",2017-11-04,2018-02-21,"LT","Natal_DOB_Emi","Yes",1
"Babykaya2017",2018-02-21,2018-03-03,"LTsplit","Immigrants1_ImmiDate","No",2
"Babykodi2021",2021-12-03,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Babykodiak2020",2021-04-16,2021-08-14,"CR","Natal_NoDOB_Disappeared","Yes",1
"Babylau2012",2012-10-29,2012-11-12,"NH","Natal_DOB_Disappeared","Yes",1
"Babylima2018",2018-11-29,2019-03-18,"NH","Natal_DOB_Disappeared","Yes",1
"Babylima2019",2019-10-22,2019-10-26,"NH","Natal_DOB_Disappeared","Yes",1
"Babylionel2017",2017-10-13,2017-11-17,"CR","Natal_NoDOB_Disappeared","Yes",1
