"LH_RowNumber","LH_AnimalName","LH_AnimalCode","OtherID","Sex","EarMark","DOB","FirstDate","DateAdult","CurrentGroup","BirthGroup","LH_MotherID","LH_FatherID","EmigrationNatalDate","ImmigrationGroup1","ImmigrationDate1","LastDate1","ImmigrationGroup2","ImmigrationDate2","LastDate2","ImmigrationGroup3","ImmigrationDate3","LastDate3","ImmigrationGroup4","ImmigrationDate4","LastDate4","ReliableData","Comments","Fate_probable"
"1","Afrikaans","Afr",NA,"M",NA,"2010-10-19","2010-10-19",NA,NA,"BD","Asis",NA,"2015-06-25","AK","2015-06-29","2016-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Pompon",NA,NA,"M",NA,NA,"2010-10-26",NA,NA,"RC",NA,NA,"2011-11-01",NA,NA,"2011-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2009",NA
"3","Niese","Nies",NA,"F","30","2010-10-31","2010-10-31",NA,NA,"BD","Numbies",NA,NA,NA,NA,"2014-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","dead"
"4","Gugu","Gugu",NA,"F",NA,"2010-11-02","2010-11-02",NA,NA,"AK","Gagasa",NA,NA,NA,NA,"2021-03-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Body found floating on the second dam on the 18/03/2021","dead"
"5","Hibe","Hib",NA,"M","12","2010-11-02","2010-11-02",NA,NA,"AK","Hamba","Sanbonani","2015-05-15",NA,NA,"2015-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ifu","Ifu",NA,"M",NA,"2010-11-02","2010-11-02",NA,NA,"AK","Isilonda",NA,"2015-03-30",NA,NA,"2015-03-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Mvula","Mvu",NA,"M",NA,"2010-11-02","2010-11-02",NA,NA,"AK","Mamoobi","Sanbonani","2015-06-13","BD","2015-06-13","2016-12-17","CR","2016-12-29","2018-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Guyaquil","Guy",NA,"M",NA,"2010-11-05","2010-11-05",NA,NA,"NH","Geneva",NA,"2015-04-22",NA,NA,"2015-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2nd MJ",NA,NA,"M",NA,NA,"2010-11-08",NA,NA,NA,NA,NA,NA,"RC",NA,"2010-11-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA
"10","Dublin","Dub",NA,"M",NA,NA,"2010-11-08",NA,NA,NA,NA,NA,NA,"NH","2010-11-08","2012-10-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen once more in NH on 2013/01/25, unclear if error or not, date of immigration is likely just first seen date","migrated"
"11","Milano","Mil",NA,"M","4",NA,"2010-11-08",NA,NA,NA,NA,NA,NA,"NH","2010-11-08","2011-03-30","NH","2011-10-20","2013-09-30","BD","2014-04-28","2015-05-02",NA,NA,NA,NA,"Not seen at noha for 5 months then returned, date of immigration is likely just first seen date, seen in BD v infrequently in months before final seen date","migrated"
"12","Napoli","Nap",NA,"M",NA,NA,"2010-11-08",NA,NA,NA,NA,NA,NA,"NH","2010-11-08","2011-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Paris","Pari",NA,"F","20",NA,"2010-11-08",NA,NA,"NH",NA,NA,NA,NA,NA,"2015-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead body found on 18/08/15","dead"
"14","Roma","Roma",NA,"F","60",NA,"2010-11-08",NA,NA,"NH",NA,NA,NA,NA,NA,"2021-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date 17-02-18 to 23-02-18 roma missing ; Found weak but alive with massive injuries on the 8th of feb 2021, seen once since then.",NA
"15","Troia","Troi",NA,"F",NA,NA,"2010-11-08",NA,NA,"NH",NA,NA,"2016-04-13","Iceland",NA,"2016-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date + Split group",NA
"16","Uppsala","Upps",NA,"F","1",NA,"2010-11-08",NA,"NH","NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Zara","Zara",NA,"F","2",NA,"2010-11-08",NA,NA,"NH",NA,NA,"2016-05-25","Zfamily",NA,"2016-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went in Split group Zfamily not followed",NA
"18","Adonis","Ado",NA,"M",NA,NA,"2010-11-09",NA,NA,NA,NA,NA,NA,"BD","2010-11-09","2011-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear if immigration date is just first seen date, seen regularly until 31-12-10 and then seen once on last seen date","migrated"
"19","Babelas","Bab","M30","M","30",NA,"2010-11-09",NA,NA,"BD",NA,NA,"2014-05-15","NH","2014-05-19","2016-04-19","LT","2019-06-24","2021-04-07","LT","2022-06-17","2022-06-30",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. ",NA
"20","Boks","Bok",NA,"M",NA,NA,"2010-11-09",NA,NA,NA,NA,NA,NA,"BD","2010-11-09","2010-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear if immigration date is just first seen date","migrated"
"21","Foei","Foei",NA,"F",NA,NA,"2010-11-09",NA,NA,"BD",NA,NA,NA,NA,NA,"2011-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown - split gp?",NA
"22","Kaiki","Kaik",NA,"F",NA,NA,"2010-11-09",NA,NA,"BD",NA,NA,"2012-11-15","InBetweeners",NA,"2014-08-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formed new group Inbetweeners",NA
"23","Lekker","Lek",NA,"M",NA,NA,"2010-11-09",NA,NA,NA,NA,NA,NA,"BD","2010-11-09","2012-04-23","NH","2012-04-28","2012-05-18","BD","2012-05-19","2015-02-12",NA,NA,NA,NA,"Some days in May-June 2012 where he is back and forth between NH and BD",NA
"24","Little Skollie",NA,NA,"M",NA,NA,"2010-11-09",NA,NA,"BD",NA,NA,"2014-05-15","NH","2014-05-19","2015-06-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009, seen with unhabituated group in NH sleep1 short time (~weeks-months) after departure from NH",NA
"25","Mooi","Mooi",NA,"F",NA,NA,"2010-11-09",NA,NA,"BD",NA,NA,NA,NA,NA,"2015-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen looking almost ""drugged"", vey weak, presumed dead. Recorded a few times after last seen date, but likely errors","dead"
"26","Numbies","Numb",NA,"F","20",NA,"2010-11-09",NA,NA,"BD",NA,NA,NA,NA,NA,"2023-04-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Oulik","Ouli",NA,"F","2",NA,"2010-11-09",NA,"BD","BD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Pik","Pik",NA,"M",NA,NA,"2010-11-09",NA,NA,NA,NA,NA,NA,"BD","2010-11-09","2012-09-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear if immigration date is just first seen date","migrated"
"29","Prinses","Prin",NA,"F","1",NA,"2010-11-09",NA,NA,"BD",NA,NA,NA,NA,NA,"2017-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded twice after official last seen but likely a mistake",NA
"30","Skollie","Sko",NA,"M",NA,NA,"2010-11-09",NA,NA,NA,NA,NA,NA,"BD","2010-11-09","2010-12-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear if immigration date is just first seen date","migrated"
"31","Feekie","Feek",NA,"F",NA,NA,"2010-11-10",NA,NA,"BD","Foei",NA,"2012-11-13","InBetweeners",NA,"2013-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2008/2009?. Formed new group Inbetweeners",NA
"32","Nkosikasi","Nkos",NA,"F","3",NA,"2010-11-11",NA,"AK","AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born between 2005-2006",NA
"33","Xoxocotla","Xox",NA,"M",NA,"2010-11-15","2010-11-15",NA,NA,"NH","XaiXai",NA,"2014-02-24",NA,NA,"2014-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead - unclear if body found","dead"
"34","Heerlik","Heer",NA,"F",NA,NA,"2010-11-16",NA,"BD","BD","Hakie","Auckland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOB unconfirmed",NA
"35","Mielies","Miel",NA,"F",NA,NA,"2010-11-16",NA,"BD","BD","Mooi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOB unconfirmed",NA
"36","Yster","Yst",NA,"M",NA,NA,"2010-11-17",NA,NA,NA,NA,NA,NA,"BD",NA,"2011-02-12","AK","2011-08-17","2013-12-18",NA,NA,NA,NA,NA,NA,"No","Possibly not Yster in AK but BD male. ",NA
"37","Jinka","Jink",NA,"F","1","2010-11-22","2010-11-22",NA,NA,"NH","Jakarta",NA,"2016-04-13","Iceland",NA,"2016-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group",NA
"38","Xai","Xai",NA,"M",NA,NA,"2010-11-22",NA,NA,"RC",NA,NA,"2011-11-01",NA,NA,"2011-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Name conflicts with XaiXai NH",NA
"39","Beminde","Bemi",NA,"F",NA,NA,"2010-11-23",NA,NA,"BD",NA,NA,"2014-01-05","Intaka",NA,"2016-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born 2007, formed IN with Wiet, Vrou",NA
"40","Hakie","Haki",NA,"F","3",NA,"2010-11-23",NA,NA,"BD",NA,NA,NA,NA,NA,"2014-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown",NA
"41","Kies","Kie",NA,"M",NA,"2010-11-23","2010-11-23",NA,NA,"BD","Kaiki",NA,"2015-07-17","AK","2015-07-20","2015-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen once more in AK the Jan after leaving",NA
