"NPACID","BatchID","BatchPosition","MSType","Name","Type","Std..Conc","Pred.RT","RT","Height","Area","IS.Height","IS.Area","Response","Primary.Flags","Conc_NonProcessed","Conc_Processed","X.Dev","X.Rec","Hormone","ProcessType","SN","NA_Replace","Peak_Editing","QuantificationCategory"
25,1,12,"Analyte","221012_Steroids_RBshary_PVuilloud_25","",NA,5.35,5.36,24753,1615,1118294,57189,0.02823,"bb",0.1127,0.1127,NA,NA,"E2","Low",2.50653594771242,NA,"None","ND"
26,1,13,"Analyte","221012_Steroids_RBshary_PVuilloud_26","",NA,5.35,5.32,5200775,272211,1164988,57279,4.75236,"bb",18.43415,18.43415,NA,NA,"E2","Low",NA,NA,"None","Q"
27,1,14,"Analyte","221012_Steroids_RBshary_PVuilloud_27","",NA,5.35,NA,NA,NA,947381,48173,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
1,1,15,"Analyte","221012_Steroids_RBshary_PVuilloud_1","",NA,5.35,5.35,68654,2992,937224,48413,0.06179,"bb",0.2408,0.2408,NA,NA,"E2","Low",2.54290498116367,NA,"None","ND"
2,1,16,"Analyte","221012_Steroids_RBshary_PVuilloud_2","",NA,5.35,5.35,16285615,775104,948747,46430,16.69401,"bb",67.70603,67.70603,NA,NA,"E2","Low",NA,NA,"None","Q"
3,1,17,"Analyte","221012_Steroids_RBshary_PVuilloud_3","",NA,5.35,5.34,80080,4135,807522,43811,0.09438,"bb",0.36517,0.36517,NA,NA,"E2","Low",1.97118621246802,NA,"None","ND"
73,1,18,"Analyte","221012_Steroids_RBshary_PVuilloud_73","",NA,5.35,NA,NA,NA,638887,30309,NA,"MM-",0.02651,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
74,1,19,"Analyte","221012_Steroids_RBshary_PVuilloud_74","",NA,5.35,5.36,1097257,55082,535913,25763,2.13804,"bb",8.22154,8.22154,NA,NA,"E2","Low",NA,NA,"None","Q"
75,1,20,"Analyte","221012_Steroids_RBshary_PVuilloud_75","",NA,5.35,NA,NA,NA,494298,23927,NA,"MM-",0.05288,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
49,1,21,"Analyte","221012_Steroids_RBshary_PVuilloud_49","",NA,5.35,NA,NA,NA,415627,22121,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
50,1,22,"Analyte","221012_Steroids_RBshary_PVuilloud_50","",NA,5.35,5.35,3238581,166017,362192,17731,9.36319,"bb",36.92074,36.92074,NA,NA,"E2","Low",NA,NA,"None","Q"
51,1,23,"Analyte","221012_Steroids_RBshary_PVuilloud_51","",NA,5.35,NA,NA,NA,236187,11107,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
30,1,24,"Analyte","221012_Steroids_RBshary_PVuilloud_30","",NA,5.35,5.35,3381171,170314,931505,43612,3.90526,"bb",15.10449,15.10449,NA,NA,"E2","Low",NA,NA,"None","Q"
31,1,25,"Analyte","221012_Steroids_RBshary_PVuilloud_31","",NA,5.35,5.35,2645680,132836,838434,43919,3.02454,"bb",11.66372,11.66372,NA,NA,"E2","Low",NA,NA,"None","Q"
39,1,26,"Analyte","221012_Steroids_RBshary_PVuilloud_39","",NA,5.35,5.34,2551455,126513,1040273,51977,2.43405,"bb",9.36855,9.36855,NA,NA,"E2","Low",NA,NA,"None","Q"
43,1,27,"Analyte","221012_Steroids_RBshary_PVuilloud_43","",NA,5.35,5.37,1996597,115397,1006249,49231,2.344,"bb",9.01936,9.01936,NA,NA,"E2","Low",NA,NA,"None","Q"
44,1,29,"Analyte","221012_Steroids_RBshary_PVuilloud_44","",NA,5.35,5.36,220299,11755,973313,48867,0.24056,"bb",0.92354,0.92354,NA,NA,"E2","Low",9.95133819951338,NA,"None","Q"
45,1,30,"Analyte","221012_Steroids_RBshary_PVuilloud_45","",NA,5.35,5.36,3434161,176366,921888,48313,3.6505,"bb",14.10701,14.10701,NA,NA,"E2","Low",NA,NA,"None","Q"
6,1,31,"Analyte","221012_Steroids_RBshary_PVuilloud_6","",NA,5.35,5.36,6844639,361330,561453,32222,11.21368,"bb",44.52222,44.52222,NA,NA,"E2","Low",NA,NA,"None","Q"
7,1,32,"Analyte","221012_Steroids_RBshary_PVuilloud_7","",NA,5.35,5.36,5731030,333010,699142,35095,9.48888,"bb",37.43361,37.43361,NA,NA,"E2","Low",NA,NA,"None","Q"
15,1,33,"Analyte","221012_Steroids_RBshary_PVuilloud_15","",NA,5.35,5.36,7450014,403085,921784,45514,8.85627,"bb",34.85717,34.85717,NA,NA,"E2","Low",NA,NA,"None","Q"
19,1,34,"Analyte","221012_Steroids_RBshary_PVuilloud_19","",NA,5.35,5.36,5274431,297233,649199,31990,9.29153,"bb",36.62854,36.62854,NA,NA,"E2","Low",NA,NA,"None","Q"
20,1,35,"Analyte","221012_Steroids_RBshary_PVuilloud_20","",NA,5.35,5.36,517944,26929,638530,34239,0.7865,"bb",3.01372,3.01372,NA,NA,"E2","Low",NA,NA,"None","Q"
21,1,36,"Analyte","221012_Steroids_RBshary_PVuilloud_21","",NA,5.35,5.36,9021004,481083,794832,40068,12.00672,"bb",47.81363,47.81363,NA,NA,"E2","Low",NA,NA,"None","Q"
78,1,37,"Analyte","221012_Steroids_RBshary_PVuilloud_78","",NA,5.35,5.36,743182,37494,459988,22116,1.69533,"bb",6.51039,6.51039,NA,NA,"E2","Low",NA,NA,"None","Q"
79,1,38,"Analyte","221012_Steroids_RBshary_PVuilloud_79","",NA,5.35,5.36,364124,19879,432218,20362,0.97627,"bb",3.74209,3.74209,NA,NA,"E2","Low",NA,NA,"None","Q"
87,1,39,"Analyte","221012_Steroids_RBshary_PVuilloud_87","",NA,5.35,5.36,344927,16923,415245,22616,0.74829,"bb",2.8672,2.8672,NA,NA,"E2","Low",NA,NA,"None","Q"
91,1,40,"Analyte","221012_Steroids_RBshary_PVuilloud_91","",NA,5.35,5.36,275181,12836,296310,15873,0.80867,"bb",3.09876,3.09876,NA,NA,"E2","Low",NA,NA,"None","Q"
92,1,41,"Analyte","221012_Steroids_RBshary_PVuilloud_92","",NA,5.35,5.36,34666,1500,408800,20458,0.07331,"bb",0.28474,0.28474,NA,NA,"E2","Low",2.20765472312704,NA,"None","ND"
93,1,42,"Analyte","221012_Steroids_RBshary_PVuilloud_93","",NA,5.35,5.36,439832,22111,426559,22476,0.98378,"bb",3.77091,3.77091,NA,NA,"E2","Low",NA,NA,"None","Q"
54,1,43,"Analyte","221012_Steroids_RBshary_PVuilloud_54","",NA,5.35,5.37,1147153,63208,208976,10861,5.81989,"bb",22.65895,22.65895,NA,NA,"E2","Low",NA,NA,"None","Q"
55,1,44,"Analyte","221012_Steroids_RBshary_PVuilloud_55","",NA,5.35,5.36,1280457,59785,304699,15131,3.95121,"bb",15.28459,15.28459,NA,NA,"E2","Low",NA,NA,"None","Q"
