"AnimalID","Natal"
"2ndmj","No"
"Aaalva","Yes"
"Aalwyn","Yes"
"Aantreklik","Yes"
"Aapie","Yes"
"Aaragon","Yes"
"Aare","Yes"
"Aarhus","Yes"
"Adam","No"
"Adder","Yes"
"Adonis","No"
"Afrikaans","Yes"
"Ahekinkinga","No"
"Akkedis","Yes"
"Alcatraz","Yes"
"Alsiende","Yes"
"Amazon","Yes"
"Amgoun","Yes"
"Amstel","Yes"
"Amur","Yes"
"Amywinehouse","Yes"
"Andrew","Yes"
"Antarctica","Yes"
"Apa","No"
"Appel","Yes"
"Ardig","Yes"
"Arno","Yes"
"Arthur","No"
"Asis","Yes"
"Askies","Yes"
"Asseblief","Yes"
"Athabasca","Yes"
"Athena","Yes"
"Atitlan","No"
"Auckland","No"
"Avon","Yes"
"Awash","Yes"
"Babelas","Yes"
"Babyaare2015","Yes"
"Babyamur2015","Yes"
"Babyamur2016","Yes"
"Babybelabela2019","Yes"
"Babybeminde2013","Yes"
"Babybog2012","Yes"
"Babybushy2014","Yes"
"Babycam2011","Yes"
"Babycam2012","Yes"
"Babydag2012","Yes"
"Babydaisy2019","Yes"
"Babydelilah2019","Yes"
"Babydewe2021","Yes"
"Babydian2021","Yes"
"Babydiana2015","Yes"
"Babydiana2019","Yes"
"Babydigby2017","Yes"
"Babydigby2019","Yes"
"Babydigby2020","Yes"
"Babydodgyknee2021","Yes"
"Babyeina2018","Yes"
"Babyemm2012","Yes"
"Babygaga2013","Yes"
"Babygaga2015","Yes"
"Babygaya2018","Yes"
"Babygaya2019","Yes"
"Babygeneva2018","Yes"
"Babygese2017","Yes"
"Babyghan2015","Yes"
"Babygoose2021","Yes"
"Babyguat2020","Yes"
"Babyguat2021","Yes"
"Babygugu2015","Yes"
"Babygugu2017","Yes"
"Babygugu2019","Yes"
"Babyhak2011","Yes"
"Babyham2013","Yes"
"Babyheer2019","Yes"
"Babyidwa2015","Yes"
"Babyisil2015","Yes"
"Babyjenn2014","Yes"
"Babyjink2014","Yes"
"Babykai2012","Yes"
"Babykaya2017","Yes"
"Babykodi2021","Yes"
"Babykodiak2020","Yes"
"Babylau2012","Yes"
"Babylima2018","Yes"
"Babylima2019","Yes"
"Babylionel2017","Yes"
"Babylittleblind2017","Yes"
"Babymackenzie2017","Yes"
