"AnimalID","OtherID"
"Aaalva","Aalva"
"Adam","Uplip"
"Atitlan","Malewithbrighteyerings"
"Avon","Appy"
"Babelas","M30"
"Babygoose2021","Babycrazeyeyes2021"
"Babymackenzie2017","Babyschnauzli2017"
"Babyzuni2021","Babyfleshy2021"
"Bingo","Jm"
"Bougainville","Goldie"
"Byron","Smc"
"Byron","Minielton"
"Cayman","Littlecameron"
"Charles","Littlecharles"
"Charles","Jb"
"Cuba","Kinktail"
"Curaco","Spot"
"Darwin","Zazoo"
"Delilah","Rainbow"
"Digby","Rhiannon"
"Dokos","Denmark"
"Easter","Smashy"
"Easter","Mous"
"Elton","Smb"
"Engel","Chouchou"
"Engel","Jc"
"Ermelo","Newmale02"
"Ertjies","Ja"
"Ertjies","Smallballs"
"Fluister","Jack"
"Formintira","Newmale110622"
"Furryglen","Blackbelly"
"Gesels","Littleboks"
"Gesels","Jg"
"Grote","Ji"
"Grote","Bigballs"
"Hamlet","Sma"
"Hlokoloza","Hlebe"
"Ibissa","Newmale090622"
"Imposter","Lennonimposter"
"Jackie","Littlejackie"
"Jackie","Jd"
"Jenny","Oldcamilla"
"Kenneth","Joe"
"Kodiak","Schnauzli"
"Littleblind","Jl"
"Mackanzie","Asiatic"
"Mara","Spottyarm"
"Merlin","Littlemerlin"
"Merlin","Jf"
"Mfolozi","Hunchback"
"Moonie","Babytang2012"
"Mousse","Jg"
"Neuchatel","M10"
"Okuncane","Dot"
"Olona","Bumpyheadmale"
"Oscar","Dumbledore"
"Ouagadougou","Shakespeare"
"Pearl","Littlealmond"
"Propriano","Prague"
"Quito","Santiago"
"Rosemary","Daria"
"Shakespeare","Ouagadougou"
"Smashy","Mous"
"Styx","Littleevil"
"Symetric","Simetric"
"Teddibeer","Christmas"
"Teddibeer","Blinky"
"Tere","F10"
"Tortuga","Brokenfinger"
"Tweed","Fluffy"
"Tyler","Garry"
"Valerie","Squishy"
"Vincent","Darkface"
"Vryheid","Newmale06.22"
"Xiushan","Decoloured"
"Yamp","Babyyuko2021"
"Yamp","Yamp"
"Yodo","Yaq"
"Yub","Yuk"
"Yub","Yuki"
"Zeia","Jucar"
"Zeus","Collaredmale"
"Zuni","Fleshy"
