"LH_RowNumber","AnimalCode","AnimalName","Sex"
9,NA,"2nd MJ","M"
692,"BigEars","BigEars","M"
51,NA,"Black tits","F"
350,NA,"Curious","M"
53,NA,"Little Balls","M"
87,NA,"Little Blind","F"
47,NA,"Little Napoli","M"
24,NA,"Little Skollie","M"
242,NA,"Little Z","M"
54,NA,"Mini MJ","F"
481,NA,"New male (look like Rio)","M"
792,"NewMale3","NewMale3","M"
693,"Plainjane","PlainJane","M"
688,"PointyEars","PointyEars","M"
2,NA,"Pompon","M"
494,"Rocky","Rocky","M"
115,NA,"SF1","F"
717,NA,"SF2","F"
718,NA,"Small Eyes","M"
719,"Tasmania","Tasmania","M"
368,NA,"The Mask","F"
124,NA,"Upside down","M"
750,"Utic","Utica","M"
681,"WavyEars","WavyEars","M"
631,"Aaa","Aaalva","M"
582,"Aal","Aalwyn","M"
507,"Aan","Aantreklik","M"
258,"Aapi","Aapie","F"
466,"Aara","Aaragon","F"
241,"Aare","Aare","F"
490,"Aar","Aarhus","M"
548,"Aat","Aathabasca","M"
284,"Ada","Adam","M"
433,"Add","Adder","M"
18,"Ado","Adonis","M"
1,"Afr","Afrikaans","M"
170,"Ahe","Ahekinkinga","M"
131,"Akk","Akkedis","M"
813,"Alab","Alabama","F"
449,"Alc","Alcatraz","M"
222,"Alsi","Alsiende","F"
172,"Amaz","Amazon","F"
491,"Amg","Amgoun","M"
698,"Amst","Amstel","F"
179,"Amur","Amur","F"
113,"Amyw","Amy Winehouse","F"
244,"And","Andrew","M"
812,"Ang","Angara","M"
358,"Anta","Antarctica","F"
690,"Apa","Apa","M"
830,"Apo","Apollo","M"
637,"App","Appel","M"
575,"Ard","Ardig","M"
297,"Arn","Arno","M"
129,"Art","Arthur","M"
82,"Asis","Asis","F"
728,"Ask","Askies","M"
332,"Ass","Asseblief","M"
800,"Athe","Athena","F"
386,"Ati","Atitlan","M"
827,"Atj","Atjar","M"
171,"Auc","Auckland","M"
259,"Avo","Avon","M"
635,"Awa","Awash","M"
887,"Axom","Axomamma","F"
19,"Bab","Babelas","M"
763,"Baha","Bahamas","F"
538,"Bali","Bali","F"
126,"Bam","Bamako","M"
663,"Bang","Bangalore","F"
398,"Barb","Barbados","F"
430,"Bari","Bari","F"
