"AnimalID","Sex"
"2ndmj","M"
"Babyaare2015","M"
"Babybog2012","F"
"Babydag2012","M"
"Babydiana2015","M"
"Babyeina2018","M"
"Babyemm2012","M"
"Babygaga2013","F"
"Babygaya2018","M"
"Babygaya2019","M"
"Babyguat2021","M"
"Babygugu2017","M"
"Babygugu2019","M"
"Babyhak2011","M"
"Babyham2013","F"
"Babyheer2019","M"
"Babykaya2017","M"
"Babylima2018","F"
"Babylima2019","F"
"Babymara2019","M"
"Babyness2015","F"
"Babynessie2019","M"
"Babyniese2014","M"
"Babynurks2018","F"
"Babyoerw2021","M"
"Babyouli2021","M"
"Babypannekoekie2017","M"
"Babypotjie2019","F"
"Babypretoria2019","F"
"Babyredelik2019","M"
"Babyrenn2020","M"
"Babyreva2019","M"
"Babyrosl2020","F"
"Babyroxanne2017","M"
"Babytonga2015","M"
"Babytroi2015","M"
"Babyumnak2015","M"
"Babyupp2012","M"
"Babyvict2014","M"
"Babywietnie2013","F"
"Babyzuni2021","M"
"Bigears","M"
"Blacktits","F"
"Curious","M"
"Littleballs","M"
"Littleblind","F"
"Littlenapoli","M"
"Littleskollie","M"
"Littlez","M"
"Minimj","F"
"Newmale","M"
"Newmale3","M"
"Pointyears","M"
"Pompon","M"
"Sf1","F"
"Sf2","F"
"Smalleyes","M"
"Themask","F"
"Upsidedown","M"
"Utica","M"
"Wavyears","M"
"Aaalva","M"
"Aalwyn","M"
"Aantreklik","M"
"Aapie","F"
"Aaragon","F"
"Aare","F"
"Aarhus","M"
"Adam","M"
"Adder","M"
"Adonis","M"
"Afrikaans","M"
"Ahekinkinga","M"
"Akkedis","M"
"Alcatraz","M"
"Alsiende","F"
"Amazon","F"
"Amgoun","M"
"Amstel","F"
"Amur","F"
"Amywinehouse","F"
"Andrew","M"
"Antarctica","F"
"Apa","M"
"Appel","M"
"Ardig","M"
"Arno","M"
"Arthur","M"
"Asis","F"
"Askies","M"
"Asseblief","M"
"Athabasca","M"
"Athena","F"
"Atitlan","M"
"Auckland","M"
"Avon","M"
"Awash","M"
"Babelas","M"
"Bahamas","F"
"Bali","F"
"Bamako","M"
"Bangalore","F"
"Barbados","F"
"Bari","F"
"Barry","F"
"Base","M"
"Beirut","F"
"Belabela","F"
"Beminde","F"
"Benedict","M"
"Bermuda","M"
"Bethlehem","M"
"Bingo","M"
"Blupblup","M"
"Bocold","M"
"Bogota","F"
"Boks","M"
"Bongani","M"
"Boston","M"
"Bougainville","M"
"Brasilia","F"
"Brisbane","M"
"Brucespringsteen","M"
"Bryan","M"
"Bukubuku","M"
"Bullebak","M"
"Bushy","F"
"Byron","M"
"Cameron","M"
"Camilla","F"
"Cancun","M"
"Capri","M"
"Cayman","M"
"Charles","M"
"Chernobyl","M"
"Chiloe","F"
"Cindylauper","F"
"Circe","F"
"Clarence","F"
"Collin","M"
"Colorado","M"
"Cone","M"
"Cuba","F"
"Curaco","M"
"Cusco","M"
"Daartagnan","M"
"Daenerys","F"
"Dagga","F"
"Daila","F"
"Daisy","F"
"Dakar","M"
