"","AnimalID","Date","Time","Treatment","Gr","Nurse","IGE","TotalVol","Tubes","DataSource","SampleID","BoxID","BoxPosition","low.volume","notes"
"1","Vin","30/11/2017","08:08:00","grooming","Yes","No","No","0.3",1,"FieldSeason2016-18.csv","279",1,1,"",""
"2","Hipp","07/12/2017","07:06:00","grooming","Yes","No","No","0.9",1,"FieldSeason2016-18.csv","302",1,2,"",""
"3","LBlind","13/11/2017","05:13:00","grooming","Yes","No","No","3",1,"FieldSeason2016-18.csv","242",1,3,"",""
"4","Miel","16/08/2017","06:48:00","grooming","Yes","No","No","3",1,"FieldSeason2016-18.csv","124",1,4,"",""
"5","Pal","14/12/2018","11:21:00","grooming","Yes",NA,"No","07-May",3,"FieldSeason2018_grooming.csv","363",1,5,"",""
"6","Enge","05/12/2017","05:37:00","grooming","Yes","No","No","01-May",1,"FieldSeason2016-18.csv","287",1,6,"",""
"7","Hipp","07/08/2017","07:03:00","grooming","Yes","No","No","6",2,"FieldSeason2016-18.csv","111",1,7,"",""
"8","Siel","08/08/2017","07:34:00","grooming","Yes","No","No","2",1,"FieldSeason2016-18.csv","112",1,8,"",""
"9","Xian","14/10/2017","07:52:00","grooming","Yes","No","No","01-Feb",1,"FieldSeason2016-18.csv","204",1,9,"",""
"10","Upps","27/09/2017","06:21:00","grooming","Yes","No","No","06-Jul",2,"FieldSeason2016-18.csv","183",1,10,"",""
"11","Pret","14/10/2017","05:45:00","grooming","Yes","No","No","01-May",1,"FieldSeason2016-18.csv","200",1,11,"","date in tube says 13 instead of 14/10/2017"
"12","Riss","29/07/2017","13:40:00","grooming","Yes","No","No","6",2,"FieldSeason2016-18.csv","100",1,12,"","tube says 7:56 hour instead, check!"
"13","Lblind","04/12/2017","09:47:00","grooming","Yes","No","No","1",1,"FieldSeason2016-18.csv","286",1,13,"","tube says 3/12/2017 instead, check!"
"14","Heer","08/09/2017","10:50:00","grooming","Yes","No","No","01-Aug",1,"FieldSeason2016-18.csv","156",1,14,"",""
"15","Unw","31/10/2017","13:44:00","grooming","Yes","No","No","0.6",1,"FieldSeason2016-18.csv","211",1,15,"",""
"16","Ouli","15/09/2017","06:19:00","grooming","Yes","No","No","05-Jul",2,"FieldSeason2016-18.csv","165",1,16,"",""
"17","Hipp","07/09/2017","06:17:00","grooming","Yes","No","No","6",2,"FieldSeason2016-18.csv","153",1,17,"",""
"18","Fen","21/11/2018","13:51:00","IGE","Unknown",NA,"Yes","0.6",1,"FieldSeason2018_IGE.csv","387",1,18,"","sample says control, check!!"
"19","Ubu","10/09/2018","08:17:00","Control","No","No","No","0.5",1,"FieldSeason2016-18.csv","604",1,19,"",""
"20","Ubu","02/11/2018","06:15:00","Control","No","No","No","02-Mar",2,"FieldSeason2016-18.csv","613",1,20,"",""
"21","Pal","04/01/2019","05:03:00","Control","No","No","No","01-Aug",1,"FieldSeason2016-18.csv","656",1,21,"",""
"22","LBlind","18/07/2018","15:45:00","Control","No","No","No","03-Apr",2,"FieldSeason2016-18.csv","577",1,22,"",""
"23","LBlind","18/07/2018","15:45:00","Control","No","No","No","03-Apr",2,"FieldSeason2016-18.csv","577",1,23,"",""
"24","Bin/Kom","19/07/2018","06:45:00","Control","No","No","No","01-May",1,"FieldSeason2016-18.csv","578",1,24,"",""
"25","Bin/Kom","03/11/2018","15:08:00","Control","No","No","No","01-Jan",1,"FieldSeason2016-18.csv","617",1,25,"",""
"26","Heer","18/12/2018","04:48:00","Control","No","No","No","0.45",1,"FieldSeason2016-18.csv","648",1,26,"",""
"27","Heer","21/12/2018","05:17:00","Control","No","No","No","06-Jul",3,"FieldSeason2016-18.csv","650",1,27,"",""
