"AnimalID","FirstDate","BirthGroup","LH_MotherID","DOB_Assign"
"Guzunga",2018-11-01,"AK","Gugu",""
"Gubudu",2020-12-11,"AK","Gubha",""
"Ndondo",2021-01-04,"AK","Ndawonya",""
"Ncane",2022-12-01,"AK","Ncoko",""
"Bbndaw22",2022-12-03,"AK","Ndawonya",""
"Ndini",2022-12-03,"AK","Ndonsa",""
"Gijima",2022-12-29,"AK","Ghida",""
"Hondjie",2016-11-29,"BD","Heerlik",""
"Hibiscus",2016-11-30,"BD","Hippie",""
"Babypannekoekie2019",2019-11-04,"BD","Pannekoekie",""
"Oupa",2020-11-13,"BD","Oulik",""
"Naartjie",2020-12-21,"BD","Nooiens ",""
"Nukke",2021-10-18,"BD","Nurks",""
"Piesang",2021-10-18,"BD","Pieperig",""
"Renoster",2021-11-15,"BD","Redelik",""
"Sampion",2021-11-22,"BD","Sari",""
"Babyoerw2021",2021-12-06,"BD","Oerwoud",""
"Bbdian22",2022-11-10,"BD","Diana",""
"Olyf",2022-11-15,"BD","Oulik",""
"Pruin",2022-11-22,"BD","Puolka",""
"Rosyn",2022-12-07,"BD","Redelik",""
"Pikkewyn",2022-12-10,"BD","Pieperig",""
"Otter",2022-12-26,"BD","Oerwoud",""
"Yangtze",2014-01-27,"KB","Yenissei",""
"Moonie",2014-02-28,"KB","Mara",""
"Malawi",2014-12-14,"KB","Mara",""
"Babyamur2015",2015-10-25,"KB","Amur",""
"Yara",2017-11-11,"KB","Yalu",""
"Yzeron",2017-11-20,"KB","Yenissei",""
"Aathabasca",2018-10-26,"KB","Aare",""
"Mass",2018-11-12,"KB","Mara",""
"Aaalva",2020-10-08,"KB","Aare",""
"Moesa",2020-11-24,"KB","Mara",""
"Babyyalu2020",2020-12-01,"KB","Yalu",""
"Yodo",2021-10-03,"KB","Yara",""
"Amstel",2021-10-12,"KB","Aaragon",""
"Nugget",2021-10-26,"KB","Nessie",""
"Yamp",2021-11-16,"KB","Yamuna",""
"Alabama",2022-10-31,"KB","Aare",""
"Bbmara22",2022-11-05,"KB","Mara",""
"Yentna",2022-11-14,"KB","Yelostone",""
"Yakima",2022-11-17,"KB","Yamuna",""
"Yuba",2022-11-19,"KB","Yukon",""
"Digby",2014-01-08,"LT","Diana",""
"Shitface",2014-01-28,"LT",NA,""
"Oliver",2014-02-04,"LT",NA,""
"Rosemary",2014-02-11,"LT",NA,""
"Tere",2014-05-30,"LT",NA,""
"Lefty",2014-05-31,"LT",NA,""
"Kenneth",2014-08-15,"LT","Kaya",""
"Liam",2014-08-15,"LT",NA,""
"Iggy",2014-08-18,"LT","India",""
"Daisy",2014-08-26,"LT","Diana",""
"Joe",2014-09-18,"LT",NA,""
"Vance",2014-09-20,"LT","Victoria",""
"Halfy",2014-10-18,"LT",NA,""
"Roxanne",2014-10-30,"LT",NA,""
"Mercury",2014-12-18,"LT",NA,""
"Daenerys",2015-08-20,"LT","Diana",""
"Babydigby2017",2017-10-05,"LT","Digby",""
"Rocky",2017-10-09,"LT","Rose-Mary",""
"Babydiana2019",2019-10-29,"LT","Diana",""
"Dastard",2019-11-01,"LT","Daenerys",""
"Babydelilah2019",2019-11-04,"LT","Delilah",""
"Lampshade",2019-11-07,"LT","Laurel",""
"Diamond",2020-10-29,"LT","Diana",""
"Light",2020-10-29,"LT","Lilly",""
"Deja",2020-12-07,"LT","Delilah",""
"Loki",2020-12-07,"LT","Louise",""
"Delta",2020-12-11,"LT","Dewe",""
"Lola",2021-12-03,"LT","Louise",""
"Delux",2021-12-11,"LT","Delilah",""
"Derrick",2021-12-11,"LT","Dexter",""
"Lucifer",2021-12-11,"LT","Lilly",""
"Bbdigb22",2022-11-04,"LT","Digby",""
"Bbdewe22",2022-11-18,"LT","Dewe",""
"Bbdaen22",2022-11-24,"LT","Daenerys",""
"Luna",2022-12-06,"LT","Lancey",""
"Lotus",2022-12-22,"LT","Louise",""
"Uraniumcity",2017-10-09,"NH","Uppsala",""
"Xinji",2017-10-20,"NH","Xian",""
"Rochdale",2018-11-01,"NH","Reva",""
"Ulsan",2018-11-01,"NH","Uppsala",""
"Riversdale",2020-11-16,"NH","Reva",""
"Palmela",2020-12-17,"NH","Pretoria",""
"Lugano",2020-12-21,"NH","Lima",""
"Rimini",2021-01-11,"NH","Rabat",""
"Babypret2021",2021-10-05,"NH","Pretoria",""
"Primavera",2021-10-28,"NH","Praia",""
"Bethlehem",2021-11-08,"NH","Bela-Bela",""
"Rivas",2021-11-08,"NH","Rioja",""
"Xarès",2021-11-08,"NH","Xalapa",""
"Bboort22",2022-11-15,"NH","Oortjies",""
"Bbgran22",2022-11-21,"NH","Granada",""
