,AnimalID,AnimalCode,LH_AnimalCode,Sex,CodeLength,ToCheck
1,2ndmj,,,M,,Yes
2,Apollo,Apo,Apo,,3,Yes
3,Bigears,BigEars,BigEars,M,7,Yes
4,Blacktits,,,F,,Yes
5,Cairo,Cairo,Cairo,M,5,Yes
6,Curious,,,M,,Yes
7,Ekse,Ekse,Ekse,,4,Yes
8,Fakegeorge,George,George,M,6,Yes
9,Juv1,JUV1,JUV1,,4,Yes
10,Juv2,JUV2,JUV2,,4,Yes
11,Littleballs,,,M,,Yes
12,Littleblind,,,F,,Yes
13,Littlenapoli,,,M,,Yes
14,Littleskollie,,,M,,Yes
15,Littlez,,,M,,Yes
16,Minimj,,,F,,Yes
17,Nagapie,Naga,Naga,,4,Yes
18,Newmale,,,M,,Yes
19,Newmale3,NewMale3,NewMale3,M,8,Yes
20,Papsak,Pap,Pap,,3,Yes
21,Pointyears,PointyEars,PointyEars,M,10,Yes
22,Pompon,,,M,,Yes
23,Sf1,,,F,,Yes
24,Sf2,,,F,,Yes
25,Smalleyes,,,M,,Yes
26,Tasmania,Tas,Tas,,3,Yes
27,Themask,,,F,,Yes
28,Upsidedown,,,M,,Yes
29,Utica,Utic,Utic,M,4,Yes
30,Wavyears,WavyEars,WavyEars,M,8,Yes
31,Bugeyes,,,,,
32,Corfu,,,,,
33,Dunston,,,,,
34,Gollum,,,,,
35,Gosh,,,,,
36,Greenland,,,,,
37,Heart,,,,,
38,Jalitah,,,,,
39,Kangaroo,,,,,
40,Littlenotch,,,,,
41,Nostrils,,,,,
