"AnimalID","AnimalCode","OtherID","Sex","DOB","FirstDate","DOB_estimate","Age_yr","Age_class","Group_mb","StartDate_mb","EndDate_mb","Tenure_type","Mother","Father","ReliableData","Fate_probable","Comments"
"Aaalva","Aaa","Aalva","M","2019-11-01","2020-10-08","2019-11-01",3.44,"juvenile","KB","2020-10-08","Stillpresent","BirthGroup","Aare",NA,NA,NA,"Born into KB late 2019.Not recorded. Name changed from Aalva to Aaalva."
"Aalwyn","Aal",NA,"M","2018-11-27","2018-11-27","2018-11-27",4.37,"sub-adult","BD","2018-11-27","Stillpresent","BirthGroup","Aapie",NA,NA,NA,NA
"Aantreklik","Aan",NA,"M","2017-10-17","2017-10-17","2017-10-17",5.49,"adult","BD","2017-10-17","Stillpresent","BirthGroup","Aapie",NA,"Yes",NA,"may be mistaken about the fact that his mom is Aapi. Due to observation he maybe Asis son - to check with genetics!"
"Aapie","Aapi",NA,"F","2013-11-11","2013-11-11","2013-11-11",9.43,"adult","BD","2013-11-11","2023-04-05","BirthGroup","Asis",NA,NA,NA,NA
"Aarhus","Aar",NA,"M","2017-10-09","2017-10-09","2017-10-09",5.51,"adult","IFamily","2023-01-30","Stillpresent","MigrationGroup1","Aare",NA,NA,NA,NA
"Aarhus","Aar",NA,"M","2017-10-09","2017-10-09","2017-10-09",5.51,"adult","KB","2017-10-09","2023-01-30","BirthGroup","Aare",NA,NA,NA,NA
"Aaragon","Aara",NA,"F","2016-11-16","2016-11-16","2016-11-16",6.4,"adult","KB","2016-11-16","2023-04-05","BirthGroup","Aare",NA,NA,NA,NA
"Aare","Aare",NA,"F",NA,"2013-02-08","2013-02-08",NA,"adult","KB","2013-02-08","2023-04-05","BirthGroup","Amazon",NA,NA,NA,NA
"Aathabasca","Aat","Ath","M","2018-10-26","2018-10-26","2018-10-26",4.46,"sub-adult","KB","2018-10-26","Stillpresent","BirthGroup","Aare",NA,NA,NA,"Probably born earlier than first seen date"
"Adam","Ada","Uplip","M",NA,"2014-08-14","2010-08-14",NA,"adult","LT","2014-08-14","2016-11-14","MigrationGroup1",NA,NA,NA,NA,"Not clear if he appeared before official date, nothing in logbook/remarks to say first seen"
"Adder","Add",NA,"M","2015-11-23","2015-11-23","2015-11-23",7.39,"adult","BD","2015-11-23","2021-10-04","BirthGroup","Asis",NA,NA,NA,NA
"Adonis","Ado",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","BD","2010-11-09","2011-02-08","MigrationGroup1",NA,NA,NA,"migrated","Unclear if immigration date is just first seen date, seen regularly until 31-12-10 and then seen once on last seen date"
"Afrikaans","Afr",NA,"M","2010-10-19","2010-10-19","2010-10-19",12.5,"adult","AK","2015-06-29","2016-02-16","MigrationGroup1","Asis",NA,NA,NA,NA
"Afrikaans","Afr",NA,"M","2010-10-19","2010-10-19","2010-10-19",12.5,"adult","BD","2010-10-19","2015-06-25","BirthGroup","Asis",NA,NA,NA,NA
"Ahekinkinga","Ahe",NA,"M",NA,"2010-12-18","2006-12-18",NA,"adult","AK","2010-12-18","2012-02-24","MigrationGroup1",NA,NA,NA,NA,NA
"Akkedis","Akk",NA,"M","2011-11-07","2011-11-07","2011-11-07",11.45,"adult","CR","2016-06-10","2018-07-20","MigrationGroup1","Asis","Lekker",NA,NA,"seen on last day CR followed 2018/07/20"
"Akkedis","Akk",NA,"M","2011-11-07","2011-11-07","2011-11-07",11.45,"adult","BD","2011-11-07","2016-05-28","BirthGroup","Asis","Lekker",NA,NA,"seen on last day CR followed 2018/07/20"
"Alabama","Alab",NA,"F","2022-10-31","2022-10-31","2022-10-31",0.43,"baby","KB","2022-10-31","2023-04-05","BirthGroup","Aare",NA,"Yes",NA,NA
