"AnimalID","AnimalCode","DOB","FirstDate","DOB_estimate","Age_yr","Age_class"
"Aaalva","Aaa",2019-11-01,2020-10-08,"2019-11-01",3.44,"juvenile"
"Aalwyn","Aal",2018-11-27,2018-11-27,"2018-11-27",4.37,"sub-adult"
"Aantreklik","Aan",2017-10-17,2017-10-17,"2017-10-17",5.49,"adult"
"Aapie","Aapi",2013-11-11,2013-11-11,"2013-11-11",9.43,"adult"
"Aarhus","Aar",2017-10-09,2017-10-09,"2017-10-09",5.51,"adult"
"Aaragon","Aara",2016-11-16,2016-11-16,"2016-11-16",6.4,"adult"
"Aare","Aare",NA,2013-02-08,"2013-02-08",NA,"adult"
"Aathabasca","Aat",2018-10-26,2018-10-26,"2018-10-26",4.46,"sub-adult"
"Adam","Ada",NA,2014-08-14,"2010-08-14",NA,"adult"
"Adder","Add",2015-11-23,2015-11-23,"2015-11-23",7.39,"adult"
"Adonis","Ado",NA,2010-11-09,"2006-11-09",NA,"adult"
"Afrikaans","Afr",2010-10-19,2010-10-19,"2010-10-19",12.5,"adult"
"Ahekinkinga","Ahe",NA,2010-12-18,"2006-12-18",NA,"adult"
"Akkedis","Akk",2011-11-07,2011-11-07,"2011-11-07",11.45,"adult"
"Alabama","Alab",2022-10-31,2022-10-31,"2022-10-31",0.43,"baby"
"Alcatraz","Alc",NA,2016-01-14,"2014-11-01",NA,"adult"
"Alsiende","Alsi",2012-10-23,2012-10-23,"2012-10-23",10.48,"adult"
"Amazon","Amaz",NA,2012-03-13,"2012-03-13",NA,"adult"
"Amgoun","Amg",2017-10-09,2017-10-09,"2017-10-09",5.51,"adult"
"Amstel","Amst",2021-10-12,2021-10-12,"2021-10-12",1.49,"juvenile"
"Amur","Amur",NA,2012-05-09,"2011-11-01",NA,"adult"
"Amywinehouse","Amyw",NA,NA,NA,NA,NA
"Andrew","And",NA,2013-02-09,"2010-04-12",NA,"adult"
"Angara","Ang",2022-10-26,2022-10-26,"2022-10-26",0.45,"baby"
"Antarctica","Anta",NA,2014-12-31,"2014-12-31",NA,"adult"
"Apa","Apa",NA,2021-06-04,"2017-06-04",NA,"adult"
"Apollo","Apo",NA,2022-11-17,NA,NA,NA
"Appel","App",2020-11-04,2020-11-04,"2020-11-04",2.43,"juvenile"
"Ardig","Ard",2018-11-15,2018-11-15,"2018-11-15",4.4,"sub-adult"
"Arno","Arn",2014-10-17,2014-10-17,"2014-10-17",8.49,"adult"
"Arthur","Art",NA,2011-11-03,"2007-11-03",NA,"adult"
"Asis","Asis",NA,2011-02-19,"2011-02-19",NA,"adult"
"Askies","Ask",2021-10-27,2021-10-27,"2021-10-27",1.45,"juvenile"
"Asseblief","Ass",2014-11-05,2014-11-05,"2014-11-05",8.44,"adult"
"Athena","Athe",NA,2022-06-28,NA,NA,NA
"Atitlan","Ati",NA,2015-04-28,"2011-04-28",NA,"adult"
"Atjar","Atj",2022-11-18,2022-11-18,"2022-11-18",0.38,"baby"
"Auckland","Auc",NA,2012-02-27,"2008-02-27",NA,"adult"
"Avon","Avo",2013-11-11,2013-11-11,"2013-11-11",9.43,"adult"
"Awash","Awa",2020-11-03,2020-11-03,"2020-11-03",2.43,"juvenile"
"Babyaare2015","BAar15",2015-11-12,NA,"2015-11-12",7.42,"adult"
"Babyamur2015","BAmu15",2015-10-25,NA,"2015-10-25",7.47,"adult"
"Babyamur2016","BAmu16",2016-11-03,NA,"2016-11-03",6.44,"adult"
"Bbbali22","BBBali22",NA,NA,NA,NA,NA
"Bbcirc21","BBCirc21",NA,NA,NA,NA,NA
"Bbdaen22","BBDaen22",2022-11-24,NA,"2022-11-24",0.37,"baby"
"Babydewe2021","BBDew21",2021-11-16,NA,"2021-11-16",1.39,"juvenile"
"Bbdewe22","BBDewe22",2022-11-18,NA,"2022-11-18",0.38,"baby"
"Bbdian22","BBDian22",2022-11-10,NA,"2022-11-10",0.41,"baby"
"Bbdigb22","BBDigb22",2022-11-04,NA,"2022-11-04",0.42,"baby"
"Babydodgyknee2021","BBDod21",NA,NA,NA,NA,NA
"Babyzuni2021","BBFZuni21",NA,NA,NA,NA,NA
"Bbgala22","BBGala22",NA,NA,NA,NA,NA
"Babygoose2021","BBGoo21",NA,NA,NA,NA,NA
"Bbgoos22","BBGoos22",NA,NA,NA,NA,NA
"Bbgran22","BBGran22",2022-11-21,NA,"2022-11-21",0.38,"baby"
"Bbhera22","BBHera22",NA,NA,NA,NA,NA
"Bbinhl21","BBInhl21",NA,NA,NA,NA,NA
"Bbinhl22","BBInhl22",NA,NA,NA,NA,NA
"Babykodi2021","BBKodi21",NA,NA,NA,NA,NA
"Bbmack22","BBMack22",NA,NA,NA,NA,NA
"Bbmara22","BBMara22",2022-11-05,NA,"2022-11-05",0.42,"baby"
"Bbmedu22","BBMedu22",NA,NA,NA,NA,NA
"Bbndaw22","BBNdaw22",2022-12-03,NA,"2022-12-03",0.34,"baby"
"Bbniha22","BBNiha22",NA,NA,NA,NA,NA
"Bboort22","BBOort22",2022-11-15,NA,"2022-11-15",0.39,"baby"
"Bbpret22","BBPret22",2022-11-26,NA,"2022-11-26",0.36,"baby"
"Bbxian22","BBXian22",2022-10-21,NA,"2022-10-21",0.46,"baby"
"Babybelabela2019","BBel19",2019-10-14,NA,"2019-10-14",3.49,"juvenile"
"Babybeminde2013","BBem13",2013-10-22,NA,"2013-10-22",9.48,"adult"
"Babybog2012","BBog12",2012-10-18,NA,"2012-10-18",10.5,"adult"
"Babybushy2014","BBus14",2014-11-03,NA,"2014-11-03",8.45,"adult"
"Babycam2011","BCam11",NA,NA,NA,NA,NA
"Babycam2012","BCam12",2012-09-29,NA,"2012-09-29",10.55,"adult"
"Babydag2012","BDag12",2012-09-25,NA,"2012-09-25",10.56,"adult"
"Babydaisy2019","BDai19",NA,NA,NA,NA,NA
"Babydelilah2019","BDel19",2019-11-04,NA,"2019-11-04",3.43,"juvenile"
"Babydiana2015","BDia15",2015-11-17,NA,"2015-11-17",7.41,"adult"
