"AnimalID","LH_AnimalCode","Age_yr","Age_class"
"2ndmj",NA,NA,NA
"Aaalva","Aaa",3.31,"juvenile"
"Aalwyn","Aal",4.24,"sub-adult"
"Aantreklik","Aan",5.36,"adult"
"Aapie","Aapi",9.3,"adult"
"Aaragon","Aara",6.28,"adult"
"Aare","Aare",NA,NA
"Aarhus","Aar",5.38,"adult"
"Adam","Ada",NA,NA
"Adder","Add",7.26,"adult"
"Adonis","Ado",NA,NA
"Afrikaans","Afr",12.37,"adult"
"Ahekinkinga","Ahe",NA,NA
"Akkedis","Akk",11.32,"adult"
"Alcatraz","Alc",NA,NA
"Alsiende","Alsi",10.36,"adult"
"Amazon","Amaz",NA,NA
"Amgoun","Amg",5.38,"adult"
"Amstel","Amst",1.36,"juvenile"
"Amur","Amur",NA,NA
"Amywinehouse","Amyw",NA,NA
"Andrew","And",NA,NA
"Antarctica","Anta",NA,NA
"Apa","Apa",NA,NA
"Appel","App",2.3,"juvenile"
"Ardig","Ard",4.28,"sub-adult"
"Arno","Arn",8.37,"adult"
"Arthur","Art",NA,NA
"Asis","Asis",NA,NA
"Askies","Ask",1.32,"juvenile"
"Asseblief","Ass",8.32,"adult"
"Athabasca","Ath",4.33,"sub-adult"
"Athena","Athe",NA,NA
"Atitlan","Ati",NA,NA
"Auckland","Auc",NA,NA
"Avon","Avo",9.3,"adult"
"Awash","Awa",2.3,"juvenile"
"Babelas","Bab",NA,NA
"Babyaare2015","BAar15",7.29,"adult"
"Babyamur2015",NA,7.34,"adult"
"Babyamur2016",NA,6.31,"adult"
"Babybelabela2019",NA,3.36,"juvenile"
"Babybeminde2013",NA,9.36,"adult"
"Babybog2012","BBog12",10.37,"adult"
"Babybushy2014",NA,8.32,"adult"
"Babycam2011",NA,NA,NA
"Babycam2012",NA,10.42,"adult"
"Babydag2012","BDag12",10.43,"adult"
"Babydaisy2019",NA,NA,NA
"Babydelilah2019",NA,3.31,"juvenile"
"Babydewe2021",NA,1.27,"juvenile"
"Babydian2021",NA,1.4,"juvenile"
"Babydiana2015","BDia15",7.28,"adult"
"Babydiana2019",NA,3.32,"juvenile"
"Babydigby2017",NA,5.39,"adult"
"Babydigby2019",NA,3.34,"juvenile"
"Babydigby2020",NA,2.26,"juvenile"
"Babydodgyknee2021",NA,NA,NA
"Babyeina2018","BEin18",4.28,"sub-adult"
"Babyemm2012","BEmm12",10.4,"adult"
"Babygaga2013","BGag13",9.35,"adult"
"Babygaga2015",NA,7.26,"adult"
"Babygaya2018","BGay18",4.17,"sub-adult"
"Babygaya2019","BGay19",3.36,"juvenile"
"Babygeneva2018",NA,4.3,NA
"Babygese2017",NA,5.38,"adult"
"Babyghan2015",NA,7.31,"adult"
"Babygoose2021",NA,NA,NA
"Babyguat2020",NA,2.22,"juvenile"
"Babyguat2021","BGua21",1.3,"juvenile"
"Babygugu2015",NA,7.28,"adult"
"Babygugu2017","BGug17",5.32,"adult"
"Babygugu2019","BGug19",3.29,"juvenile"
"Babyhak2011","BHak11",11.28,"adult"
"Babyham2013","BHam13",9.41,"adult"
"Babyheer2019","BHee19",3.32,"juvenile"
"Babyidwa2015",NA,7.28,"adult"
"Babyisil2015",NA,7.31,"adult"
"Babyjenn2014",NA,8.36,"adult"
"Babyjink2014",NA,8.32,"adult"
"Babykai2012",NA,NA,NA
"Babykaya2017","BKay17",5.31,"adult"
"Babykodi2021",NA,NA,NA
"Babykodiak2020",NA,NA,NA
"Babylau2012",NA,10.34,"adult"
"Babylima2018","BLim18",4.24,"adult"
"Babylima2019","BLim19",3.34,"juvenile"
"Babylionel2017",NA,NA,NA
"Babylittleblind2017",NA,5.4,"adult"
"Babymackenzie2017",NA,NA,NA
"Babymamo2015",NA,7.3,"adult"
"Babymara2019","BMar19",3.34,"juvenile"
"Babymielies2014",NA,8.34,"adult"
"Babymielies2017",NA,5.16,"adult"
"Babymielies2019",NA,3.32,"juvenile"
"Babymoo2011",NA,11.11,"adult"
"Babynala2014",NA,8.37,"adult"
"Babyndaw2021",NA,1.26,"juvenile"
"Babyness2015","BNes15",7.3,"adult"
"Babynessie2019","BNes19",3.34,"juvenile"
"Babyniese2014","BNie14",8.3,"adult"
"Babynkos2015",NA,7.29,"adult"
"Babynumbies2017",NA,5.42,"adult"
"Babynumbies2019",NA,3.39,"juvenile"
"Babynurks2018","BNur18",4.28,"adult"
"Babynyanga2018",NA,4.17,NA
"Babynyanga2020",NA,2.25,"juvenile"
"Babyoahu2015",NA,NA,NA
"Babyoahu2017",NA,5.38,"adult"
"Babyoerw2021","BOer21",1.21,"juvenile"
"Babyouli2021","BOul21",1.37,"juvenile"
"Babypannekoekie2014",NA,8.32,"adult"
"Babypannekoekie2017","BPan17",5.37,"adult"
"Babypannekoekie2019",NA,3.31,"juvenile"
"Babypearl2015",NA,7.24,"adult"
"Babypotjie2019","BPot19",3.33,"juvenile"
"Babypret2021",NA,1.38,"juvenile"
"Babypretoria2019","BPre19",3.3,"juvenile"
"Babypuolka2019",NA,3.34,"juvenile"
