"AnimalID","AnimalCode"
"Aaalva","Aaa"
"Aalwyn","Aal"
"Aantreklik","Aan"
"Aapie","Aapi"
"Aarhus","Aar"
"Aaragon","Aara"
"Aare","Aare"
"Aathabasca","Aat"
"Adam","Ada"
"Adder","Add"
"Adonis","Ado"
"Afrikaans","Afr"
"Ahekinkinga","Ahe"
"Akkedis","Akk"
"Alabama","Alab"
"Alcatraz","Alc"
"Alsiende","Alsi"
"Amazon","Amaz"
"Amgoun","Amg"
"Amstel","Amst"
"Amur","Amur"
"Amywinehouse","Amyw"
"Andrew","And"
"Angara","Ang"
"Antarctica","Anta"
"Apa","Apa"
"Apollo","Apo"
"Appel","App"
"Ardig","Ard"
"Arno","Arn"
"Arthur","Art"
"Asis","Asis"
"Askies","Ask"
"Asseblief","Ass"
"Athena","Athe"
"Atitlan","Ati"
"Atjar","Atj"
"Auckland","Auc"
"Avon","Avo"
"Awash","Awa"
"Babyaare2015","BAar15"
"Babyamur2015","BAmu15"
"Babyamur2016","BAmu16"
"Bbbali22","BBBali22"
"Bbcirc21","BBCirc21"
"Bbdaen22","BBDaen22"
"Babydewe2021","BBDew21"
"Bbdewe22","BBDewe22"
"Bbdian22","BBDian22"
"Bbdigb22","BBDigb22"
"Babydodgyknee2021","BBDod21"
"Babyzuni2021","BBFZuni21"
"Bbgala22","BBGala22"
"Babygoose2021","BBGoo21"
"Bbgoos22","BBGoos22"
"Bbgran22","BBGran22"
"Bbhera22","BBHera22"
"Bbinhl21","BBInhl21"
"Bbinhl22","BBInhl22"
"Babykodi2021","BBKodi21"
"Bbmack22","BBMack22"
"Bbmara22","BBMara22"
"Bbmedu22","BBMedu22"
"Bbndaw22","BBNdaw22"
"Bbniha22","BBNiha22"
"Bboort22","BBOort22"
"Bbpret22","BBPret22"
"Bbxian22","BBXian22"
"Babybelabela2019","BBel19"
"Babybeminde2013","BBem13"
"Babybog2012","BBog12"
"Babybushy2014","BBus14"
"Babycam2011","BCam11"
"Babycam2012","BCam12"
"Babydag2012","BDag12"
"Babydaisy2019","BDai19"
"Babydelilah2019","BDel19"
"Babydiana2015","BDia15"
"Babydiana2019","BDia19"
"Babydian2021","BDia21"
"Babydigby2017","BDig17"
"Babydigby2019","BDig19"
"Babydigby2020","BDig20"
"Babyeina2018","BEin18"
"Babyemm2012","BEmm12"
"Babytere2014","BF1014"
"Babygaga2013","BGag13"
"Babygaga2015","BGag15"
"Babygaya2018","BGay18"
"Babygaya2019","BGay19"
"Babygeneva2018","BGen18"
"Babygese2017","BGes17"
"Babyghan2015","BGha15"
"Babyguat2020","BGua20"
"Babyguat2021","BGua21"
"Babygugu2015","BGug15"
"Babygugu2017","BGug17"
"Babygugu2019","BGug19"
"Babyhak2011","BHak11"
"Babyham2013","BHam13"
"Babyheer2019","BHee19"
"Babyidwa2015","BIdw15"
"Babyisil2015","BIsi15"
"Babyjenn2014","BJen14"
"Babyjink2014","BJin14"
"Babykai2012","BKai12"
"Babykaya2017","BKay17"
"Babylittleblind2017","BLBl17"
"Babylau2012","BLau12"
"Babylima2018","BLim18"
"Babylima2019","BLim19"
"Babylionel2017","BLio17"
"Babymackenzie2017","BMac17"
"Babymamo2015","BMam15"
"Babymara2019","BMar19"
"Babymielies2014","BMie14"
"Babymielies2017","BMie17"
"Babymielies2019","BMie19"
"Babymoo2011","BMoo11"
"Babynala2014","BNal14"
"Babyndaw2021","BNda21"
"Babyness2015","BNes15"
"Babynessie2019","BNes19"
"Babyniese2014","BNie14"
"Babynkos2015","BNko15"
"Babynumbies2017","BNum17"
"Babynumbies2019","BNum19"
"Babynurks2018","BNur18"
"Babynyanga2018","BNya18"
"Babynyanga2020","BNya20"
"Babyoahu2015","BOah15"
"Babyoahu2017","BOah17"
"Babyoerw2021","BOer21"
"Babyouli2021","BOul21"
"Babypannekoekie2014","BPan14"
"Babypannekoekie2017","BPan17"
"Babypannekoekie2019","BPan19"
"Babypearl2015","BPear15"
"Babypotjie2019","BPot19"
"Babypretoria2019","BPre19"
"Babypret2021","BPre21"
"Babypuolka2019","BPuo19"
"Babyredelik2019","BRed19"
"Babyrenn2020","BRen20"
"Babyreva2019","BRev19"
"Babyrosl2020","BRos20"
"Babyroxanne2017","BRox17"
"Babyruby2017","BRub17"
"Babysiele2016","BSie16"
"Babysnortjie2015","BSno15"
"Babysuzy2014","BSuz14"
"Babytip2012","BTip12"
"Babytonga2015","BTon15"
"Babytroi2015","BTro15"
"Babyumnak2015","BUmn15"
"Babyupp2012","BUpp12"
"Babyvict2014","BVic14"
"Babywietnie2013","BWie13"
"Babyxalapa2018","BXal18"
"Babyxalapa2019","BXal19"
"Babyxian2019","BXia19"
"Babyyaou2014","BYao14"
"Babyzeia2015","BZei15"
"Babelas","Bab"
"Bahamas","Baha"
"Bali","Bali"
"Bamako","Bam"
"Bangalore","Bang"
"Barbados","Barb"
"Bari","Bari"
"Barry","Barr"
"Base","Bas"
"Beirut","Beir"
"Belabela","Bela"
"Beminde","Bemi"
"Benedict","Ben"
"Bermuda","Ber"
"Bethlehem","Bet"
"Bigears","BigEars"
"Bingo","Bin"
"Babykodiak2020","Bkod20"
"Blupblup","Blu"
"Bocold","Boc"
"Bogota","Bogo"
"Boks","Bok"
"Bongani","Bon"
"Boston","Bos"
"Bougainville","Bou"
"Brasilia","Bras"
"Brisbane","Bri"
"Brucespringsteen","Bru"
"Bryan","Bry"
"Bukubuku","Buk"
"Bullebak","Bul"
"Bushy","Bush"
"Babyyalu2020","Byalu"
"Byron","Byr"
"Cairo","Cairo"
"Cameron","Cam"
"Camilla","Cami"
"Cancun","Can"
"Capri","Cap"
"Cayman","Cay"
"Charles","Cha"
"Chernobyl","Che"
"Chiloe","Chil"
"Cindylauper","Cind"
"Circe","Circ"
"Clarence","Clar"
"Colorado","Col"
"Collin","Col"
"Cone","Con"
"Cuba","Cuba"
"Curaco","Cur"
"Cusco","Cus"
"Daartagnan","Daa"
"Daenerys","Daen"
"Dagga","Dagg"
"Daila","Dail"
"Daisy","Dais"
"Dakar","Dak"
"Dalton","Dal"
"Danube","Dan"
"Danielle","Dani"
"Dapper","Dap"
"Darwin","Dar"
"Dastard","Das"
"Dazzle","Dazz"
"Deja","Deja"
"Delux","Del"
"Delilah","Deli"
"Delta","Delt"
"Derrick","Der"
"Dewey","Dewe"
"Dexter","Dext"
"Diamond","Dia"
"Diana","Dian"
"Digby","Digb"
"Dillon","Dil"
"Dion","Dio"
"Disco","Dis"
"Dixon","Dix"
"Dodgyknee","Dodg"
"Dokos","Dok"
"Donsig","Don"
"Doreen","Dore"
"Doublespot","Dou"
"Downlip","Dow"
"Drew","Drew"
"Dublin","Dub"
"Duckie","Duc"
"Dulcina","Dulc"
"Dwergie","Dwe"
"Easter","East"
"Edward","Edw"
"Eier","Eie"
"Eina","Eina"
"Eish","Eis"
"Eivissa","Eiv"
"Ekse","Ekse"
"Elbar","Elba"
"Ellesmere","Elle"
"Elton","Elt"
"Elvispresley","Elv"
"Emma","Emma"
"Engel","Enge"
"Ermelo","Erm"
"Ertjies","Ert"
"Etosha","Eto"
"Evanescence","Evan"
"Everest","Eve"
"Faroe","Far"
"Feekie","Feek"
"Feniks","Fen"
"Fergie","Ferg"
"Fiji","Fiji"
"Flatty","Fla"
"Flensburg","Fle"
"Fluister","Flu"
"Foei","Foei"
"Formentera","Form"
"Freyja","Frey"
"Fudu","Fud"
"Furryglen","Fur"
"Gaaf","Gaa"
"Gabaroni","Gab"
"Gabillou","Gabi"
"Gagasa","Gaga"
"Galapagos","Gala"
"Galati","Gala"
"Galeria","Gale"
"Gangtok","Gan"
"Garoua","Gar"
"Gasket","Gas"
"Gaya","Gaya"
"Gelosi","Gel"
"Geleza","Gele"
"Geneva","Gene"
"George","Geo"
"Fakegeorge","George"
"Gesels","Gese"
"Ghandaghanda","Gha"
"Ghangaan","Ghan"
"Ghidigidi","Ghi"
"Ghida","Ghid"
"Ghozololo","Gho"
"Gibela","Gib"
"Gigolo","Gig"
"Gijima","Giji"
"Gilane","Gil"
"Gino","Gin"
"Ginqinka","Ginq"
"Giya","Giy"
"Glastonbury","Gla"
"Gloed","Glo"
"Gobela","Gobe"
"Goduka","Godu"
"Goed","Goe"
"Gomonqo","Gom"
"Goose","Goos"
"Govu","Gov"
"Granada","Gran"
"Greenbay","Gree"
"Griffin","Gri"
"Grimsby","Grim"
"Griselles","Gris"
"Grive","Griv"
"Grote","Gro"
"Guadalajara","Gua"
"Guatemala","Guat"
"Gubudu","Gub"
"Gubane","Guba"
"Gubha","Gubh"
"Gugu","Gugu"
"Gunsandroses","Gun"
"Gunya","Guny"
"Gusha","Gus"
"Guyaquil","Guy"
"Guzunga","Guz"
"Haaigranaat","Haai"
"Hakie","Haki"
"Halfy","Hal"
"Hamlet","Ham"
"Hamba","Hamb"
"Handi","Han"
"Harry","Har"
"Hasie","Has"
"Hawai","Haw"
"Heelal","Hee"
"Heerlik","Heer"
"Heilweis","Hei"
"Helmet","Hel"
"Heleza","Hele"
"Helikopter","Heli"
"Hemel","Hem"
"Henderson","Hen"
"Herskep","Her"
"Hera","Hera"
"Heyi","Hey"
"Hiasint","Hia"
"Hibe","Hib"
"Hibiscus","Hibi"
"Hippie","Hipp"
"Hleka","Hlek"
"Hlokoloza","Hlo"
"Hluhluwe","Hlu"
"Hola","Hol"
"Holey","Hole"
"Hondjie","Hond"
"Huge","Huge"
"Humusha","Hum"
"Hwahwaza","Hwa"
"Iceland","Icel"
"Idwala","Idwa"
"Ifu","Ifu"
"Iggy","Igg"
"Ihlane","Ihl"
"Ijinja","Iji"
"Ilonga","Ilon"
"Imposter","Imp"
"India","Indi"
"Inhlanhla","Inhl"
"Inkwazi","Inkw"
"Inner","Inn"
"Intaba","Int"
"Ireland","Ire"
"Ischia","Isc"
"Isilonda","Isil"
"Istanbul","Ist"
"Izulu","Izu"
"Juv1","JUV1"
"Juv2","JUV2"
"Jackie","Jac"
"Jagerbomb","Jag"
"Jakarta","Jaka"
"James","Jam"
"Jamaica","Jama"
"Jane","Jane"
"Japan","Jap"
"Java","Java"
"Jeddah","Jed"
"Jelly","Jell"
"Jenny","Jenn"
"Jersey","Jers"
"Jiamusi","Jia"
"Jillin","Jill"
"Jimmyhendricks","Jim"
"Jinka","Jink"
"Jixi","Jix"
"Joe","Joe"
"Johannesburg","Joha"
"Juneau","Jun"
"Kaiki","Kaik"
"Kaptein","Kap"
"Karenzoid","Kare"
"Kate","Kate"
"Kauai","Kau"
"Kaya","Kaya"
"Kekeke","Kek"
"Kenneth","Ken"
"Kergelen","Ker"
"Kies","Kie"
"Kilimanjaro","Kil"
"Knoffel","Kno"
"Knysna","Kny"
"Kodiak","Kodi"
"Kommunis","Kom"
"Koninging","Koni"
"Kookoolegit","Koo"
"Krakatoa","Krak"
"Kurtcubain","Kur"
"Kyle","Kyl"
"Laila","Lail"
"Lampshade","Lamp"
"Lancey","Lanc"
"Larry","Lar"
"Laurel","Laur"
"Lausanne","Laus"
"Lavander","Lava"
"Lawrence","Law"
"Lefty","Lef"
"Lekker","Lek"
"Lennon","Len"
"Lewe","Lewe"
"Lhassa","Lhas"
"Liam","Lia"
"Liffey","Lif"
"Light","Lig"
"Lilly","Lill"
"Lima","Lima"
"Lionel","Lion"
"Lipsy","Lip"
"Lizz","Lizz"
"Lohihi","Lohi"
"Loki","Loki"
"Lola","Lola"
"Lome","Lom"
"Lotus","Lotu"
"Louise","Loui"
"Luan","Lua"
"Lucifer","Luc"
"Lugano","Lug"
"Luna","Luna"
"Macedonia","Mac"
"Mackanzie","Mack"
"Madagascar","Mad"
"Madonna","Mado"
"Malawi","Mal"
"Mamoobi","Mamo"
"Mandy","Man"
"Manhattan","Manh"
"Margarita","Mar"
"Mara","Mara"
"Martinique","Mart"
"Mass","Mas"
"Mathimula","Mat"
"Mbazwane","Mba"
"Mbila","Mbil"
"Medjerda","Med"
"Medusa","Medu"
"Meerkat","Mee"
"Merlin","Mer"
"Mercury","Mer"
"Mevrou","Mevr"
"Mfolozi","Mfo"
"Mhaori","Mhao"
"Michaeljackson","Mic"
"Middag","Midd"
"Mielies","Miel"
"Milano","Mil"
"Mimiek","Mimi"
"Mississipi","Mis"
"Miskien","Misk"
"Mnandi","Mna"
"Modjadji","Modj"
"Moesa","Moes"
"Mokcha","Mokc"
"Momo","Mom"
"Montreal","Mon"
"Mooi","Mooi"
"Moonie","Moon"
"Mousse","Mou"
"Moya","Moya"
"Mpukuvane","Mpu"
"Muis","Mui"
"Mungunya","Mun"
"Mvula","Mvu"
"Naartjie","Naa"
"Naaldekoker","Naal"
"Nagapie","Naga"
"Nahoon","Nah"
"Nakhu","Nak"
"Nala","Nala"
"Namnam","Namn"
"Nantucket","Nan"
"Napoli","Nap"
"Ncane","Nca"
"Ncoko","Ncok"
"Ndanda","Nda"
"Ndawonya","Ndaw"
"Ndiza","Ndi"
"Ndiki","Ndik"
"Ndini","Ndin"
"Ndlovu","Ndl"
"Ndondo","Ndo"
"Ndonsa","Ndon"
"Ndumiso","Ndum"
"Nelson","Nel"
"Nessie","Ness"
"Neuchatel","Neu"
"Newton","New"
"Newmale3","NewMale3"
"Ngenakubo","Nge"
"Ngubu","Ngu"
"Niese","Nies"
"Nihau","Niha"
"Nihiru","Nihi"
"Nil","Nil"
"Nirtjies","Nirt"
"Nkomo","Nko"
"Nkosikasi","Nkos"
"Nkunzi","Nkun"
"Noah","Noa"
"Noktober","Nok"
"Nonnitgie","Non"
"Nooit","Noo"
"Nooiens","Nooi"
"Nora","Nora"
"Nuclides","Nucl"
"Nugget","Nug"
"Nukke","Nuk"
"Nul","Nul"
"Numbies","Numb"
"Nurks","Nurk"
"Nuuskierig","Nuu"
"Nyala","Nyal"
"Nyanga","Nyan"
"Nyoni","Nyo"
"Oahu","Oahu"
"Oase","Oase"
"Obelisk","Obe"
"Obsessie","Obse"
"Oerwoud","Oerw"
"Ogies","Ogi"
"Okavango","Oka"
"Okefenokee","Oke"
"Okucane","Oku"
"Oliver","Oli"
"Olona","Olo"
"Olyf","Olyf"
"Omelet","Ome"
"Onbeskof","Onb"
"Oom","Oom"
"Oortjies","Oort"
"Oscar","Osc"
"Otter","Ott"
"Ouagadougou","Oua"
"Oulik","Ouli"
"Ouma","Ouma"
"Oupa","Oup"
"Padkos","Padk"
"Pale","Pal"
"Palmela","Palm"
"Pandora","Pand"
"Pannekoekie","Pann"
"Papsak","Pap"
"Papp","Papp"
"Paris","Pari"
"Patlansky","Pat"
"Pearl","Pear"
"Persephone","Pers"
"Pianosa","Pia"
"Piesang","Pie"
"Pieperig","Piep"
"Pik","Pik"
"Pikito","Pik"
"Pikkewyn","Pikk"
"Pink","Pink"
"Pitcairn","Pit"
"Pixsel","Pix"
"Pizza","Piz"
"Plainjane","Pla"
"Plesier","Ples"
"Poeding","Poe"
"Pofferthie","Poff"
"Pointy","Poi"
"Pointyears","PointyEars"
"Pomelo","Pom"
"Poppie","Popp"
"Potjie","Potj"
"Praia","Prai"
"Pratella","Prat"
"Pretoria","Pret"
"Primavera","Prim"
"Prinses","Prin"
"Propriano","Pro"
"Pruszkow","Pru"
"Pruin","Prui"
"Puerto","Pue"
"Puntag","Pun"
"Puolka","Puol"
"Purper","Pur"
"Puymerl","Puym"
"Pyeongchang","Pye"
"Queen","Quee"
"Quito","Qui"
"Rabat","Raba"
"Radja","Rad"
"Rafaela","Rafa"
"Rakker","Rak"
"Rambouillet","Ram"
"Raspberry","Rasp"
"Ratel","Rat"
"Redhot","Red"
"Redelik","Rede"
"Reenval","Ree"
"Reenboog","Reen"
"Regina","Regi"
"Reindeer","Rein"
"Reno","Ren"
"Renee","Rene"
"Rennes","Renn"
"Renoster","Reno"
"Revdanda","Rev"
"Reva","Reva"
"Reykjavik","Rey"
"Rheban","Rhe"
"Richard","Ric"
"Ridder","Rid"
"Rimini","Rim"
"Rimpel","Rimp"
"Rio","Rio"
"Rioja","Rioj"
"Rishikesh","Ris"
"Rissiepit","Riss"
"Riversdale","Riv"
"Rivas","Riva"
"Rivier","Rivi"
"Riyadh","Riy"
"Robin","Rob"
"Robben","Robb"
"Rocky","Roc"
"Rochdale","Roc"
"Roeslare","Roes"
"Roma","Roma"
"Rooikat","Roo"
"Rooibos","Rooi"
"Rosyn","Ros"
"Rosemary","Rose"
"Roslin","Rosl"
"Roxanne","Roxa"
"Ruby","Ruby"
"Rupert","Rup"
"Rusk","Rus"
"Rustig","Rust"
"Ryan","Rya"
"Sma","SMA"
"Safari","Safa"
"Samoa","Samo"
"Sampion","Samp"
"Sari","Sari"
"Schnauzli","Schn"
"Selenge","Sel"
"Seychelles","Sey"
"Shakespeare","Sha"
"Shitface","Shi"
"Shongololo","Sho"
"Siele","Siel"
"Sigaret","Sig"
"Sion","Sio"
"Sirkus","Sirk"
"Sitrus","Sitr"
"Skemer","Skem"
"Skhumbuzo","Skh"
"Skin","Skin"
"Skollie","Sko"
"Slang","Sla"
"Smashy","Smas"
"Snortjie","Snor"
"Solomon","Sol"
"Spampounkoeki","Spam"
"Spanspek","Span"
"Spek","Spe"
"Spotted","Spo"
"Spook","Spo"
"Stanley","Sta"
"Styx","Sty"
"Sumbawa","Sumb"
"Suzy","Suzy"
"Sylinder","Syl"
"Symetric","Sym"
"Talinn","Tal"
"Tambacounda","Tam"
"Tanganika","Tang"
"Tannie","Tann"
"Tastyflavours","Tas"
"Tasmania","Tas"
"Tchakalaka","Tch"
"Teddibeer","Ted"
"Tere","Tere"
"Tevere","Tev"
"Thames","Tha"
"Theodore","The"
"Tiki","Tik"
"Timber","Timb"
"Tipies","Tipi"
"Tirroan","Tir"
"Tonga","Tong"
"Toronto","Tor"
"Tortuga","Tort"
"Toulouse","Tou"
"Troia","Troi"
"Tugela","Tug"
"Tunis","Tun"
"Tweed","Twe"
"Tyler","Tyl"
"Ububhibhi","Ubu"
"Udine","Udi"
"Udupi","Udup"
"Uji","Uji"
"Ulaanbaatar","Ula"
"Ulaka","Ulak"
"Ulsan","Uls"
"Ulundi","Ulu"
"Umbrella","Umb"
"Umnak","Umna"
"Umtata","Umt"
"Umzali","Umz"
"Unwabo","Unw"
"Uppsala","Upps"
"Uraniumcity","Ura"
"Utica","Utic"
"Utrecht","Utr"
"Uvac","Uva"
"Vakie","Vak"
"Valerie","Vale"
"Vance","Van"
"Vancouver","Van"
"Vascorossi","Vas"
"Venezia","Vene"
"Vesuvio","Ves"
"Victoria","Vict"
"Vincent","Vin"
"Vladivostok","Vla"
"Voldemort","Vol"
"Vroutjie","Vrou"
"Vryheid","Vry"
"Vulkaan","Vul"
"Warnemünde","War"
"Washingtonbabylon","Was"
"Watnou","Watn"
"Wavyears","WavyEars"
"Wesley","Wes"
"Whidbey","Whid"
"Whiskers","Whis"
"Wierdo","Wier"
"Wietnie","Wiet"
"William","Wil"
"Wolfie","Wol"
"Wurm","Wur"
"Xai","Xai"
"Xaixai","Xaix"
"Xaltepec","Xal"
"Xalapa","Xala"
"Xarès","Xar"
"Xativa","Xati"
"Xenia","Xeni"
"Xeres","Xer"
"Xiashan","Xia"
"Xian","Xian"
"Xihau","Xih"
"Xinji","Xin"
"Xinpu","Xinp"
"Xinyi","Xiny"
"Xiushan","Xiu"
"Xopo","Xop"
"Xoxocotla","Xox"
"Yakima","Yaki"
"Yalu","Yalu"
"Yamp","Yam"
"Yamuna","Yamu"
"Yangtze","Yan"
"Yaounde","Yaou"
"Yara","Yara"
"Yazoo","Yaz"
"Yell","Yel"
"Yellowstone","Yelo"
"Yenissei","Yeni"
"Yentna","Yent"
"Yodo","Yodo"
"Yonne","Yon"
"Yoogali","Yoog"
"Yster","Yst"
"Yub","Yub"
"Yuba","Yuba"
"Yukon","Yuko"
"Yzeron","Yze"
"Zaire","Zair"
"Zambezi","Zam"
"Zanzibar","Zan"
"Zankara","Zank"
"Zara","Zara"
"Zave","Zav"
"Zeerust","Zee"
"Zeia","Zeia"
"Zeus","Zeu"
"Zhengzhou","Zhe"
"Zhukovsky","Zhu"
"Zinkwazi","Zink"
"Zion","Zio"
"Zuni","Zuni"
"Zurich","Zur"
"Pompon",NA
"2ndmj",NA
"Littleskollie",NA
"Littlenapoli",NA
"Blacktits",NA
"Littleballs",NA
"Minimj",NA
"Littleblind",NA
"Sf1",NA
"Upsidedown",NA
"Littlez",NA
"Kangaroo",NA
"Greenland",NA
"Curious",NA
"Themask",NA
"Jalitah",NA
"Newmale",NA
"Corfu",NA
"Dunston",NA
"Bugeyes",NA
"Gollum",NA
"Gosh",NA
"Heart",NA
"Littlenotch",NA
"Nostrils",NA
"Sf2",NA
"Smalleyes",NA
