"AnimalID","DOB"
"Aaalva",2019-11-01
"Aalwyn",2018-11-27
"Aantreklik",2017-10-17
"Aapie",2013-11-11
"Aarhus",2017-10-09
"Aaragon",2016-11-16
"Aathabasca",2018-10-26
"Adder",2015-11-23
"Afrikaans",2010-10-19
"Akkedis",2011-11-07
"Alabama",2022-10-31
"Alsiende",2012-10-23
"Amgoun",2017-10-09
"Amstel",2021-10-12
"Angara",2022-10-26
"Appel",2020-11-04
"Ardig",2018-11-15
"Arno",2014-10-17
"Askies",2021-10-27
"Asseblief",2014-11-05
"Atjar",2022-11-18
"Avon",2013-11-11
"Awash",2020-11-03
"Babyaare2015",2015-11-12
"Babyamur2015",2015-10-25
"Babyamur2016",2016-11-03
"Bbdaen22",2022-11-24
"Babydewe2021",2021-11-16
"Bbdewe22",2022-11-18
"Bbdian22",2022-11-10
"Bbdigb22",2022-11-04
"Bbgran22",2022-11-21
"Bbmara22",2022-11-05
"Bbndaw22",2022-12-03
"Bboort22",2022-11-15
"Bbpret22",2022-11-26
"Bbxian22",2022-10-21
"Babybelabela2019",2019-10-14
"Babybeminde2013",2013-10-22
"Babybog2012",2012-10-18
"Babybushy2014",2014-11-03
"Babycam2012",2012-09-29
"Babydag2012",2012-09-25
"Babydelilah2019",2019-11-04
"Babydiana2015",2015-11-17
"Babydiana2019",2019-10-29
"Babydian2021",2021-09-29
"Babydigby2017",2017-10-05
"Babydigby2019",2019-10-22
"Babydigby2020",2020-11-17
"Babyeina2018",2018-11-13
"Babyemm2012",2012-10-08
"Babytere2014",2014-10-22
"Babygaga2013",2013-10-24
"Babygaga2015",2015-11-26
"Babygaya2018",2018-12-24
"Babygaya2019",2019-10-14
"Babygeneva2018",2018-11-05
"Babygese2017",2017-10-09
"Babyghan2015",2015-11-06
"Babyguat2020",2020-12-02
"Babyguat2021",2021-11-02
"Babygugu2015",2015-11-16
"Babygugu2017",2017-10-31
"Babygugu2019",2019-11-09
"Babyhak2011",2011-11-22
"Babyham2013",2013-10-03
"Babyheer2019",2019-10-28
"Babyidwa2015",2015-11-18
"Babyisil2015",2015-11-05
"Babyjenn2014",2014-10-20
"Babyjink2014",2014-11-03
"Babykaya2017",2017-11-04
"Babylittleblind2017",2017-10-03
"Babylau2012",2012-10-29
"Babylima2018",2018-11-29
"Babylima2019",2019-10-22
"Babymamo2015",2015-11-11
"Babymara2019",2019-10-21
"Babymielies2014",2014-10-27
"Babymielies2017",2017-12-27
"Babymielies2019",2019-10-31
"Babymoo2011",2012-01-23
"Babynala2014",2014-10-18
"Babyndaw2021",2021-11-18
"Babyness2015",2015-11-09
"Babynessie2019",2019-10-24
"Babyniese2014",2014-11-11
"Babynkos2015",2015-11-12
"Babynumbies2017",2017-09-25
"Babynumbies2019",2019-10-03
"Babynurks2018",2018-11-14
"Babynyanga2018",2018-12-24
"Babynyanga2020",2020-11-21
"Babyoahu2017",2017-10-10
"Babyoerw2021",2021-12-06
"Babyouli2021",2021-10-09
"Babypannekoekie2014",2014-11-03
"Babypannekoekie2017",2017-10-12
"Babypannekoekie2019",2019-11-04
"Babypearl2015",2015-12-03
"Babypotjie2019",2019-10-25
"Babypretoria2019",2019-11-06
"Babypret2021",2021-10-05
"Babypuolka2019",2019-10-22
"Babyredelik2019",2019-10-19
"Babyrenn2020",2020-11-22
"Babyreva2019",2019-10-23
"Babyrosl2020",2020-11-03
"Babyroxanne2017",2017-10-16
"Babyruby2017",2017-11-03
"Babysiele2016",2016-11-30
"Babysnortjie2015",2015-11-06
"Babysuzy2014",2014-10-11
"Babytip2012",2012-10-09
"Babytonga2015",2015-11-27
"Babytroi2015",2015-10-22
"Babyumnak2015",2015-11-28
"Babyupp2012",2012-10-19
"Babyvict2014",2014-10-28
"Babywietnie2013",2013-11-12
"Babyxalapa2018",2019-01-21
"Babyxalapa2019",2019-10-30
"Babyxian2019",2019-10-24
"Babyyaou2014",2014-10-09
"Babyzeia2015",2015-10-15
"Bamako",2011-11-01
"Bangalore",2020-11-26
"Bari",2015-11-18
"Beirut",2018-12-03
"Belabela",2014-11-29
"Bethlehem",2021-11-08
"Boston",2013-10-28
"Brisbane",2015-11-10
"Bullebak",2012-10-01
"Babyyalu2020",2020-12-01
"Daartagnan",2017-11-02
"Daila",2021-11-20
"Dalton",2018-11-28
"Danielle",2021-11-22
"Dastard",2019-11-01
"Dazzle",2020-11-20
"Deja",2020-12-07
"Delux",2021-12-11
"Delilah",2012-10-08
"Delta",2020-12-11
"Derrick",2021-12-11
"Dewey",2017-01-04
"Dexter",2017-11-30
"Diamond",2020-10-29
"Digby",2014-01-08
"Dillon",2016-12-05
"Dion",2015-12-12
"Disco",2021-11-21
"Dixon",2018-11-11
"Doreen",2017-12-29
"Eier",2021-11-02
"Eina",2014-10-18
"Eish",2020-11-21
"Ekse",2022-12-07
"Faroe",2014-10-28
"Gaaf",2014-10-20
"Gabaroni",2022-12-15
"Gabillou",2016-11-14
"Galati",2015-10-23
"Galeria",2021-11-05
"Gangtok",2017-11-13
"Garoua",2012-10-11
"Gaya",2011-11-14
"Geleza",2012-09-29
"Ghandaghanda",2020-11-17
"Ghidigidi",2018-11-12
"Ghida",2014-10-31
"Ghozololo",2012-11-05
"Gibela",2020-11-12
"Gijima",2022-12-29
"Gilane",2018-11-20
"Ginqinka",2014-10-18
"Giya",2011-10-07
"Glastonbury",2013-11-12
"Gloed",2022-11-04
"Gobela",2021-11-12
"Goduka",2017-10-09
"Goed",2018-10-26
"Gomonqo",2021-11-03
"Granada",2014-12-08
"Greenbay",2019-11-06
"Griffin",2020-11-23
"Grimsby",2022-11-04
"Griselles",2018-12-13
"Grive",2021-11-03
"Guadalajara",2022-11-08
"Guatemala",2016-11-22
"Gubudu",2020-12-11
"Gubane",2018-11-25
"Gubha",2014-11-01
"Gugu",2010-11-02
"Gunya",2016-11-16
"Gusha",2020-11-16
"Guyaquil",2010-11-05
"Guzunga",2018-11-01
"Haaigranaat",2021-11-04
"Halfy",2012-12-01
"Hasie",2015-11-19
"Heelal",2017-10-30
"Heilweis",2014-10-31
"Helikopter",2020-11-19
"Hemel",2021-11-04
"Herskep",2022-12-07
"Heyi",2012-10-15
"Hiasint",2018-10-26
"Hibe",2010-11-02
"Hibiscus",2016-11-30
"Hippie",2012-10-22
"Hlokoloza",2012-12-23
"Hluhluwe",2014-10-18
"Hola",2012-09-11
"Hondjie",2016-11-29
"Humusha",2014-09-22
"Hwahwaza",2011-09-16
"Idwala",2011-11-10
"Ifu",2010-11-02
"Ihlane",2014-11-03
"Ijinja",2012-10-09
"Ilonga",2013-11-04
"Inkwazi",2013-11-18
"Intaba",2014-11-27
"Jane",2016-01-15
"Jeddah",2014-10-27
"Jelly",2017-10-19
"Jiamusi",2015-11-09
"Jillin",2012-10-15
"Jinka",2010-11-22
"Jixi",2013-10-31
"Joe",2013-12-01
"Johannesburg",2015-10-30
"Juneau",2011-11-20
"Kate",2015-12-09
"Kies",2010-11-23
"Kyle",2014-11-24
"Lampshade",2019-11-07
"Lancey",2014-10-29
"Larry",2018-12-15
"Lavander",2017-10-11
"Lawrence",2015-11-17
"Lefty",2013-12-01
"Lennon",2012-09-19
"Lewe",2018-10-26
"Liam",2013-11-01
"Light",2020-10-29
"Lilly",2015-10-16
"Lima",2014-11-04
"Loki",2020-12-07
"Lola",2021-12-03
"Lome",2011-10-27
"Lotus",2022-12-22
"Louise",2016-11-09
"Luan",2016-12-19
"Lucifer",2021-12-11
"Lugano",2020-12-21
"Luna",2022-12-06
"Malawi",2014-12-14
"Mass",2018-11-12
"Mathimula",2014-10-21
"Mbazwane",2013-11-15
"Mbila",2018-11-05
"Meerkat",2014-10-27
"Mercury",2012-12-01
"Mevrou",2012-10-29
"Mhaori",2016-11-17
"Middag",2015-11-09
"Mimiek",2018-10-26
"Mississipi",2013-11-27
"Miskien",2021-11-19
"Modjadji",2011-10-31
"Moesa",2020-11-24
"Mokcha",2017-10-13
"Moya",2017-10-26
"Muis",2020-11-25
"Mungunya",2012-10-15
"Mvula",2010-11-02
"Naartjie",2020-12-21
"Naaldekoker",2018-10-26
"Nagapie",2022-11-29
"Nahoon",2016-11-14
"Nakhu",2017-10-31
"Ncane",2022-12-01
"Ncoko",2018-11-02
"Ndanda",2018-11-03
"Ndawonya",2016-02-08
"Ndiza",2014-11-01
"Ndiki",2017-10-16
"Ndini",2022-12-03
"Ndlovu",2021-11-02
"Ndondo",2021-01-04
"Ndumiso",2020-11-16
"Ngenakubo",2016-11-18
"Ngubu",2011-11-26
"Niese",2010-10-31
"Nirtjies",2015-11-06
"Nkomo",2021-11-04
"Nkunzi",2020-11-19
"Noktober",2011-10-26
"Nonnitgie",2018-11-22
"Nooit",2021-11-09
"Nooiens",2014-11-28
"Nuclides",2019-11-04
"Nugget",2021-10-26
"Nukke",2021-10-18
"Nul",2021-10-06
"Nurks",2012-10-01
"Nuuskierig",2017-10-16
"Nyala",2021-11-05
"Nyanga",2014-10-31
"Nyoni",2012-10-22
"Oase",2022-11-19
"Obelisk",2014-11-15
"Obsessie",2017-10-24
"Oerwoud",2018-11-09
"Ogies",2011-11-02
"Oliver",2009-12-01
"Olyf",2022-11-15
"Omelet",2021-11-04
"Onbeskof",2012-10-19
"Oortjies",2015-11-20
"Otter",2022-12-26
"Ouma",2020-11-18
"Oupa",2020-11-13
"Padkos",2021-10-27
"Palmela",2020-12-17
"Papsak",2015-11-12
"Papp",2020-11-04
"Piesang",2021-10-18
"Pikkewyn",2022-12-10
"Pixsel",2018-12-20
"Plesier",2014-10-20
"Poeding",2011-11-11
"Pofferthie",2018-10-26
"Pomelo",2017-10-19
"Poppie",2020-11-12
"Potjie",2013-11-23
"Praia",2013-11-19
"Pratella",2018-11-17
"Primavera",2021-10-28
"Propriano",2014-11-19
"Pruszkow",2015-11-23
