"AnimalID","Group_mb","StartDate_mb","EndDate_mb","Tenure_type"
"Cancun","NH","2019-06-17","2021-01-27","MigrationGroup4"
"Danube","AK","2015-06-24","2015-10-13","MigrationGroup4"
"Quito","LTsplit","2016-02-04","2023-04-05","MigrationGroup4"
"Apa","LT","2022-09-22","2023-01-10","MigrationGroup3"
"Arthur","BD","2012-07-25","2014-05-20","MigrationGroup3"
"Babelas","LT","2022-06-17","2022-06-30","MigrationGroup3"
"Bocold","AK","2019-05-15","2019-10-30","MigrationGroup3"
"Cancun","NH","2017-05-30","2018-12-17","MigrationGroup3"
"Danube","IN","2014-09-08","2015-06-20","MigrationGroup3"
"Govu","CR","2017-03-01","2017-03-23","MigrationGroup3"
"Hamlet","CR","2015-08-18","2015-10-24","MigrationGroup3"
"Kommunis","BD","2022-01-20","2023-04-05","MigrationGroup3"
"Lekker","BD","2012-05-19","2015-02-12","MigrationGroup3"
"Milano","BD","2014-04-28","2015-05-02","MigrationGroup3"
"Quito","LT","2014-02-25","2015-11-12","MigrationGroup3"
"Apa","BD","2022-07-27","2022-09-14","MigrationGroup2"
"Arthur","AK","2012-04-19","2012-04-30","MigrationGroup2"
"Atitlan","AK","2016-03-03","2020-02-25","MigrationGroup2"
"Avon","Ifamily","2018-06-12","2020-06-16","MigrationGroup2"
"Babelas","LT","2019-06-24","2021-04-07","MigrationGroup2"
"Bocold","BD","2017-01-31","2019-05-04","MigrationGroup2"
"Cancun","AK","2016-03-14","2017-02-16","MigrationGroup2"
"Chernobyl","BD","2014-06-09","2016-08-06","MigrationGroup2"
"Colorado","IFamily","2016-04-29","2016-09-14","MigrationGroup2"
"Cusco","NH","2019-05-21","2020-11-30","MigrationGroup2"
"Danube","BD","2014-05-28","2014-08-30","MigrationGroup2"
"Flensburg","NH","2022-01-18","Stillpresent","MigrationGroup2"
"Govu","NH","2014-06-20","2017-02-27","MigrationGroup2"
"Hamlet","BD","2014-05-28","2015-05-26","MigrationGroup2"
"Imposter","LT","2017-11-23","2018-02-07","MigrationGroup2"
"Kauai","BD","2017-05-15","2018-03-02","MigrationGroup2"
"Kekeke","NH","2020-05-09","2020-11-12","MigrationGroup2"
"Kommunis","BD","2019-11-12","2022-12-14","MigrationGroup2"
"Lekker","NH","2012-04-28","2012-05-18","MigrationGroup2"
"Liffey","NH","2021-06-01","2022-08-15","MigrationGroup2"
"Madagascar","BD","2014-09-01","2017-03-07","MigrationGroup2"
"Mathimula","BD","2021-02-24","2021-10-29","MigrationGroup2"
"Medjerda","KB","2014-02-20","2015-12-15","MigrationGroup2"
"Milano","NH","2011-10-20","2013-09-30","MigrationGroup2"
"Mvula","CR","2016-12-29","2018-02-23","MigrationGroup2"
"Propriano","CR","2022-05-03","Stillpresent","MigrationGroup2"
"Pruszkow","KB","2022-05-18","Stillpresent","MigrationGroup2"
"Quito","AK","2012-05-08","2013-10-28","MigrationGroup2"
"Ratel","LT","2022-03-17","Stillpresent","MigrationGroup2"
"Tchakalaka","NH","2022-06-02","Stillpresent","MigrationGroup2"
"Teddibeer","LT","2022-06-11","Stillpresent","MigrationGroup2"
"Theodore","AK","2012-04-17","2013-01-18","MigrationGroup2"
