"LH_RowNumber","LH_AnimalID","LH_AnimalCode","OtherID","Sex","EarMark","DOB","FirstDate","DateAdult","CurrentGroup","BirthGroup","LH_MotherID","LH_FatherID","EmigrationNatalDate","ImmigrationGroup1","ImmigrationDate1","LastDate1","ImmigrationGroup2","ImmigrationDate2","LastDate2","ImmigrationGroup3","ImmigrationDate3","LastDate3","ImmigrationGroup4","ImmigrationDate4","LastDate4","ReliableData","Comments","AnimalID_Std","Fate_probable"
"1","Afrikaans","Afr",NA,"M",NA,2010-10-19,2010-10-19,NA,NA,"BD","Asis",NA,2015-06-25,"AK",2015-06-29,2016-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afrikaans",NA
"2","Pompon",NA,NA,"M",NA,NA,2010-10-26,NA,NA,"RC",NA,NA,2011-11-01,NA,NA,2011-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2009","Pompon",NA
"3","Niese","Nies",NA,"F","30",2010-10-31,2010-10-31,NA,NA,"BD","Numbies",NA,NA,NA,NA,2014-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Niese","dead"
"4","Gugu","Gugu",NA,"F",NA,2010-11-02,2010-11-02,NA,NA,"AK","Gagasa",NA,NA,NA,NA,2021-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Body found floating on the second dam on the 18/03/2021","Gugu","dead"
"5","Hibe","Hib",NA,"M","12",2010-11-02,2010-11-02,NA,NA,"AK","Hamba","Sanbonani",2015-05-15,NA,NA,2015-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hibe",NA
"6","Ifu","Ifu",NA,"M",NA,2010-11-02,2010-11-02,NA,NA,"AK","Isilonda",NA,2015-03-30,NA,NA,2015-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ifu",NA
"7","Mvula","Mvu",NA,"M",NA,2010-11-02,2010-11-02,NA,NA,"AK","Mamoobi","Sanbonani",2015-06-13,"BD",2015-06-13,2016-12-17,"CR",2016-12-29,2018-02-23,NA,NA,NA,NA,NA,NA,NA,NA,"Mvula",NA
"8","Guyaquil","Guy",NA,"M",NA,2010-11-05,2010-11-05,NA,NA,"NH","Geneva",NA,2015-04-22,NA,NA,2015-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guyaquil",NA
"9","2nd MJ",NA,NA,"M",NA,NA,2010-11-08,NA,NA,NA,NA,NA,NA,"RC",NA,2010-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"2ndmj",NA
"10","Dublin","Dub",NA,"M",NA,NA,2010-11-08,NA,NA,NA,NA,NA,NA,"NH",2010-11-08,2012-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen once more in NH on 2013/01/25, unclear if error or not, date of immigration is likely just first seen date","Dublin","migrated"
"11","Milano","Mil",NA,"M","4",NA,2010-11-08,NA,NA,NA,NA,NA,NA,"NH",2010-11-08,2011-03-30,"NH",2011-10-20,2013-09-30,"BD",2014-04-28,2015-05-02,NA,NA,NA,NA,"Not seen at noha for 5 months then returned, date of immigration is likely just first seen date, seen in BD v infrequently in months before final seen date","Milano","migrated"
"12","Napoli","Nap",NA,"M",NA,NA,2010-11-08,NA,NA,NA,NA,NA,NA,"NH",2010-11-08,2011-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Napoli",NA
"13","Paris","Pari",NA,"F","20",NA,2010-11-08,NA,NA,"NH",NA,NA,NA,NA,NA,2015-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead body found on 18/08/15","Paris","dead"
"14","Roma","Roma",NA,"F","60",NA,2010-11-08,NA,NA,"NH",NA,NA,NA,NA,NA,2021-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date 17-02-18 to 23-02-18 roma missing ","Roma",NA
"15","Troia","Troi",NA,"F",NA,NA,2010-11-08,NA,NA,"NH",NA,NA,2016-04-13,"Iceland",NA,2016-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date + Split group","Troia",NA
"16","Uppsala","Upps",NA,"F","1",NA,2010-11-08,NA,"NH","NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uppsala",NA
"17","Zara","Zara",NA,"F","2",NA,2010-11-08,NA,NA,"NH",NA,NA,2016-05-25,"Zfamily",NA,2016-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went in Split group Zfamily not followed","Zara",NA
"18","Adonis","Ado",NA,"M",NA,NA,2010-11-09,NA,NA,NA,NA,NA,NA,"BD",2010-11-09,2011-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear if immigration date is just first seen date, seen regularly until 31-12-10 and then seen once on last seen date","Adonis","migrated"
