"AnimalID","OtherID"
"Aaalva","Aalva"
"Adam","Uplip"
"Atitlan","Malewithbrighteyerings"
"Avon","Appy"
"Babelas","M30"
"Babygoose2021","Babycrazeyeyes2021"
"Babymackenzie2017","Babyschnauzli2017"
"Babyzuni2021","Babyfleshy2021"
"Bingo","Jm"
"Bougainville","Goldie"
"Byron","Smc"
"Cayman","Littlecameron"
"Charles","Littlecharles"
"Cuba","Kinktail"
"Curaco","Spot"
"Darwin","Zazoo"
"Delilah","Rainbow"
"Digby","Rhiannon"
"Dokos","Denmark"
"Easter","Smashy"
"Elton","Smb"
"Engel","Chouchou"
"Ermelo","Newmale02"
"Ertjies","Ja"
"Fluister","Jack"
"Furryglen","Blackbelly"
"Gesels","Littleboks"
"Grote","Ji"
"Hamlet","Sma"
"Hlokoloza","Hlebe"
"Imposter","Lennonimposter"
"Jackie","Littlejackie"
"Jenny","Oldcamilla"
"Kenneth","Joe"
"Kodiak","Schnauzli"
"Littleblind","Jl"
"Mackanzie","Asiatic"
"Mara","Spottyarm"
"Merlin","Littlemerlin"
"Mfolozi","Hunchback"
"Moonie","Babytang2012"
"Mousse","Jg"
"Neuchatel","M10"
"Okuncane","Dot"
"Olona","Bumpyheadmale"
"Oscar","Dumbledore"
"Ouagadougou","Shakespeare"
"Pearl","Littlealmond"
"Propriano","Prague"
"Quito","Santiago"
"Rosemary","Daria"
"Shakespeare","Ouagadougou"
"Smashy","Mous"
"Styx","Littleevil"
"Symetric","Simetric"
"Teddibeer","Christmas"
"Tere","F10"
"Tortuga","Brokenfinger"
"Tweed","Fluffy"
"Tyler","Garry"
"Valerie","Squishy"
"Vincent","Darkface"
"Vryheid","Newmale06.22"
"Xiushan","Decoloured"
"Yamp","Babyyuko2021"
"Yamp","Yamp"
"Yodo","Yaq"
"Yub","Yuk"
"Yub","Yuki"
"Zeia","Jucar"
"Zeus","Collaredmale"
"Zuni","Fleshy"
"Zeus","MaleCollar"
"Zeus","MaleCollar"
"Plainjane","PlainJane"
"Vryheid","NewMale06.22"
