"AnimalID","LH_AnimalCode","Sex"
"2ndmj",NA,"M"
"Bigears","BigEars","M"
"Blacktits",NA,"F"
"Curious",NA,"M"
"Littleballs",NA,"M"
"Littleblind",NA,"F"
"Littlenapoli",NA,"M"
"Littleskollie",NA,"M"
"Littlez",NA,"M"
"Minimj",NA,"F"
"Newmale",NA,"M"
"Newmale1",NA,"M"
"Newmale2",NA,"M"
"Newmale3",NA,"M"
"Pointyears","PointyEars","M"
"Pompon",NA,"M"
"Sf1",NA,"F"
"Sf2",NA,"F"
"Smalleyes",NA,"M"
"Themask",NA,"F"
"Tiki","Tik","F"
"Upsidedown",NA,"M"
"Utica","Utic","M"
"Wavyears","WavyEars","M"
"Aaalva","Aaa","M"
"Aalwyn","Aal","M"
"Aantreklik","Aan","M"
"Aapie","Aapi","F"
"Aaragon","Aara","F"
"Aare","Aare","F"
"Aarhus","Aar","M"
"Aathabasca","Aat","M"
"Adam","Ada","M"
"Adder","Add","M"
"Adonis","Ado","M"
"Afrikaans","Afr","M"
"Ahekinkinga","Ahe","M"
"Akkedis","Akk","M"
"Alcatraz","Alc","M"
"Alsiende","Alsi","F"
"Amazon","Amaz","F"
"Amgoun","Amg","M"
"Amstel","Amst","F"
"Amur","Amur","F"
"Amywinehouse","Amyw","F"
"Andrew","And","M"
"Antarctica","Anta","F"
"Apa","Apa","M"
"Appel","App","M"
"Ardig","Ard","M"
"Arno","Arn","M"
"Arthur","Art","M"
"Asis","Asis","F"
"Askies","Ask","M"
"Asseblief","Ass","M"
"Athena","Athe","F"
"Atitlan","Ati","M"
"Auckland","Auc","M"
"Avon","Avo","M"
"Awash","Awa","M"
"Babelas","Bab","M"
"Bahamas","Baha","F"
"Bali","Bali","F"
"Bamako","Bam","M"
"Bangalore","Bang","F"
"Barbados","Barb","F"
"Bari","Bari","F"
"Barry","Barr","F"
"Base","Bas","M"
"Beirut","Beir","F"
"Belabela","Bela","F"
"Beminde","Bemi","F"
"Benedict","Ben","M"
"Bermuda","Ber","M"
"Bethlehem","Bet","M"
"Bingo","Bin","M"
"Blupblup","Blu","M"
"Bocold","Boc","M"
"Bogota","Bogo","F"
"Boks","Bok","M"
"Bongani","Bon","M"
"Boston","Bos","M"
"Bougainville","Bou","M"
"Brasilia","Bras","F"
"Brisbane","Bri","M"
"Brucespringsteen","Bru","M"
"Bryan","Bry","M"
"Bukubuku","Buk","M"
"Bullebak","Bul","M"
"Bushy","Bush","F"
"Cameron","Cam","M"
"Camilla","Cami","F"
"Cancun","Can","M"
"Capri","Cap","M"
"Cayman","Cay","M"
"Chernobyl","Che","M"
"Chiloe","Chil","F"
"Cindylauper","Cind","F"
"Circe","Circ","F"
"Clarence","Clar","F"
"Collin","Col","M"
"Colorado","Col","M"
"Cone","Con","M"
"Cuba","Cuba","F"
"Curaco","Cur","M"
"Cusco","Cus","M"
"Daartagnan","Daa","M"
"Daenerys","Daen","F"
"Dagga","Dagg","F"
"Daila","Dail","F"
"Daisy","Dais","F"
"Dalton","Dal","M"
"Danielle","Dani","F"
"Danube","Dan","M"
"Dapper","Dap","M"
"Darwin","Dar","M"
"Dastard","Das","M"
"Dazzle","Dazz","F"
"Deja","Deja","F"
"Delilah","Deli","F"
"Delta","Delt","F"
"Delux","Del","M"
"Derrick","Der","M"
"Dewey","Dewe","F"
"Dexter","Dext","F"
"Diamond","Dia","M"
"Diana","Dian","F"
"Digby","Digb","F"
"Dillon","Dil","M"
"Dion","Dio","M"
"Disco","Dis","M"
"Dixon","Dix","M"
"Dodgyknee","Dodg","F"
"Dokos","Dok","M"
"Donsig","Don","M"
"Doreen","Dore","F"
"Doublespot","Dou","M"
"Downlip","Dow","M"
"Drew","Drew","F"
"Dublin","Dub","M"
"Duckie","Duc","M"
"Dulcina","Dulc","F"
"Dwergie","Dwe","M"
"Edward","Edw","M"
"Eier","Eie","M"
"Eina","Eina","F"
"Eish","Eis","M"
"Elbar","Elba","F"
"Ellesmere","Elle","F"
"Elton","Elt","M"
"Elvispresley","Elv","M"
"Emma","Emma","F"
"Ermelo","Erm","M"
"Etosha","Eto","M"
"Evanescence","Evan","F"
"Everest","Eve","M"
"Faroe","Far","M"
"Feekie","Feek","F"
"Feniks","Fen","M"
"Fergie","Ferg","F"
"Fiji","Fiji","F"
"Flatty","Fla","M"
"Flensburg","Fle","M"
"Fluister","Flu","M"
"Foei","Foei","F"
"Formentera","Form","F"
"Freyja","Frey","F"
"Fudu","Fud","M"
"Furryglen","Fur","M"
"Gaaf","Gaa","M"
"Gabillou","Gabi","F"
"Gagasa","Gaga","F"
"Galapagos","Gala","F"
"Galati","Gala","F"
"Galeria","Gale","F"
"Gangtok","Gan","M"
"Garoua","Gar","M"
"Gasket","Gas","M"
"Gaya","Gaya","F"
"Geleza","Gele","F"
"Gelosi","Gel","M"
"Geneva","Gene","F"
"George","Geo","M"
"Ghandaghanda","Gha","M"
"Ghangaan","Ghan","F"
"Ghida","Ghid","F"
"Ghidigidi","Ghi","M"
"Ghozololo","Gho","M"
"Gibela","Gib","M"
"Gigolo","Gig","M"
"Gilane","Gil","M"
"Gino","Gin","M"
"Ginqinka","Ginq","F"
"Giya","Giy","M"
"Glastonbury","Gla","M"
"Gobela","Gobe","F"
"Goduka","Godu","F"
"Goed","Goe","M"
"Gomonqo","Gom","M"
"Goose","Goos","F"
"Govu","Gov","M"
"Granada","Gran","F"
"Greenbay","Gree","F"
"Griffin","Gri","M"
"Griselles","Gris","F"
"Grive","Griv","F"
"Guatemala","Guat","F"
"Gubane","Guba","F"
"Gubha","Gubh","F"
"Gubudu","Gub","M"
"Gugu","Gugu","F"
"Gunsandroses","Gun","M"
"Gunya","Guny","F"
"Gusha","Gus","M"
"Guyaquil","Guy","M"
"Guzunga","Guz","M"
"Haaigranaat","Haai","F"
"Hakie","Haki","F"
"Halfy","Hal","M"
"Hamba","Hamb","F"
"Hamlet","Ham","M"
"Handi","Han","M"
"Harry","Har","M"
"Hasie","Has","M"
"Heelal","Hee","M"
"Heerlik","Heer","F"
"Heilweis","Hei","M"
"Heleza","Hele","F"
"Helikopter","Heli","F"
"Helmet","Hel","M"
"Hemel","Hem","M"
"Henderson","Hen","M"
"Hera","Hera","F"
"Heyi","Hey","M"
"Hiasint","Hia","M"
"Hibe","Hib","M"
"Hibiscus","Hibi","F"
"Hippie","Hipp","F"
"Hleka","Hlek","F"
"Hlokoloza","Hlo","M"
"Hluhluwe","Hlu","M"
"Hola","Hol","M"
"Holey","Hole","F"
"Hondjie","Hond","F"
"Huge","Huge","F"
"Humusha","Hum","M"
"Hwahwaza","Hwa","M"
"Iceland","Icel","F"
"Idwala","Idwa","F"
"Ifu","Ifu","M"
"Iggy","Igg","M"
"Ihlane","Ihl","M"
"Ijinja","Iji","M"
"Ilonga","Ilon","F"
"Imposter","Imp","M"
"India","Indi","F"
"Inhlanhla","Inhl","F"
"Inkwazi","Inkw","F"
"Inner","Inn","M"
"Intaba","Int","M"
"Ireland","Ire","M"
"Ischia","Isc","M"
"Isilonda","Isil","F"
"Istanbul","Ist","M"
"Izulu","Izu","M"
"Jagerbomb","Jag","M"
"Jakarta","Jaka","F"
"Jamaica","Jama","F"
"James","Jam","M"
"Jane","Jane","F"
"Japan","Jap","M"
"Java","Java","F"
"Jeddah","Jed","M"
"Jelly","Jell","F"
"Jenny","Jenn","F"
"Jersey","Jers","F"
"Jiamusi","Jia","M"
"Jillin","Jill","F"
"Jimmyhendricks","Jim","M"
"Jinka","Jink","F"
"Jixi","Jix","M"
"Joe","Joe","M"
"Johannesburg","Joha","F"
"Juneau","Jun","M"
"Kaiki","Kaik","F"
"Karenzoid","Kare","F"
"Kate","Kate","F"
"Kauai","Kau","M"
"Kaya","Kaya","F"
"Kekeke","Kek","M"
"Kenneth","Ken","M"
"Kergelen","Ker","M"
"Kies","Kie","M"
"Kilimanjaro","Kil","M"
"Kodiak","Kodi","F"
"Kommunis","Kom","M"
"Koninging","Koni","F"
"Kookoolegit","Koo","M"
"Krakatoa","Krak","F"
"Kurtcubain","Kur","M"
"Kyle","Kyl","M"
"Laila","Lail","F"
"Lampshade","Lamp","F"
"Lancey","Lanc","F"
"Larry","Lar","M"
"Laurel","Laur","F"
"Lausanne","Laus","F"
"Lavander","Lava","F"
"Lawrence","Law","M"
"Lefty","Lef","M"
"Lekker","Lek","M"
"Lennon","Len","M"
"Lewe","Lewe","F"
"Lhassa","Lhas","F"
"Liam","Lia","M"
"Liffey","Lif","M"
"Light","Lig","M"
"Lilly","Lill","F"
"Lima","Lima","F"
"Lionel","Lion","F"
"Lipsy","Lip","M"
"Lizz","Lizz","F"
"Lohihi","Lohi","F"
"Loki","Loki","F"
"Lola","Lola","F"
"Lome","Lom","M"
"Louise","Loui","F"
"Luan","Lua","M"
"Lucifer","Luc","M"
"Lugano","Lug","M"
"Macedonia","Mac","M"
"Mackanzie","Mack","F"
"Madagascar","Mad","M"
"Madonna","Mado","F"
"Malawi","Mal","M"
"Mamoobi","Mamo","F"
"Manhattan","Manh","F"
"Mara","Mara","F"
"Margarita","Mar","M"
"Martinique","Mart","F"
"Mass","Mas","M"
"Mathimula","Mat","M"
"Mbazwane","Mba","M"
"Mbila","Mbil","F"
